﻿BH_Title_1010001,Hand over Food,ส่งมอบอาหาร
BH_Title_1010002,Hand over Fruit,ส่งมอบผลไม้
BH_Title_1010003,Hand over Meat,ส่งมอบเนื้อ
BH_Title_1010004,Hand over Wine,ส่งมอบสุรา
BH_Title_1010005,Hand over Food,ส่งมอบอาหาร
BH_Title_1010006,Hand over Fruit,ส่งมอบผลไม้
BH_Title_1010007,Hand over Meat,ส่งมอบเนื้อ
BH_Title_1010008,Hand over Wine,ส่งมอบสุรา
BH_Title_1010009,Hand over Weapon,ส่งมอบอาวุธ
BH_Title_1010010,Hand over Armor,ส่งมอบชุดเกราะ
BH_Title_1010011,Kill the wild boar,กำจัดหมูป่า
BH_Title_1010012,Kill the snake,กำจัดงู
BH_Title_1010013,Kill the wild boar,กำจัดหมูป่า
BH_Title_1010014,Kill the snake,กำจัดงู
BH_Title_1010015,Kill the wild boar,กำจัดหมูป่า
BH_Title_30000001,Collect Food,รวบรวมอาหาร
BH_Title_30000002,Collect Fruit,รวบรวมผลไม้
BH_Title_30000003,Collect Meat,รวบรวมเนื้อ
BH_Title_30000004,Collect Wine,รวบรวมสุรา
BH_Title_30000005,Collect Medicine,รวบรวมยา
BH_Title_30000006,Collect Side,รวบรวมเครื่องเคียง
BH_Title_30000007,Collect Aquatic,รวบรวมสัตว์น้ำ
BH_Title_30000008,Collect Wood,รวบรวมไม้
BH_Title_30000009,Collect Ore,รวบรวมแร่
BH_Title_30000010,Collect Weapon,รวบรวมอาวุธ
BH_Title_30000011,Collect Armor,รวบรวมชุดเกราะ
BH_Title_30000012,Collect Herb,รวบรวมสมุนไพร
BH_Title_30000013,Collect Food,รวบรวมอาหาร
BH_Title_30000014,Collect Fruit,รวบรวมผลไม้
BH_Title_30000015,Collect Meat,รวบรวมเนื้อ
BH_Title_30000016,Collect Wine,รวบรวมสุรา
BH_Title_30000017,Collect Medicine,รวบรวมยา
BH_Title_30000018,Collect Side,รวบรวมเครื่องเคียง
BH_Title_30000019,Collect Aquatic,รวบรวมสัตว์น้ำ
BH_Title_30000020,Collect Wood,รวบรวมไม้
BH_Title_30000021,Collect Ore,รวบรวมแร่
BH_Title_30000022,Collect Weapon,รวบรวมอาวุธ
BH_Title_30000023,Collect Armor,รวบรวมชุดเกราะ
BH_Title_30000024,Collect Herb,รวบรวมสมุนไพร
BH_Title_30000025,Collect Food,รวบรวมอาหาร
BH_Title_30000026,Collect Fruit,รวบรวมผลไม้
BH_Title_30000027,Collect Wine,รวบรวมสุรา
BH_Title_30000028,Collect Medicine,รวบรวมยา
BH_Title_30000029,Collect Side,รวบรวมเครื่องเคียง
BH_Title_30000030,Collect Aquatic,รวบรวมสัตว์น้ำ
BH_Title_30000031,Collect Wood,รวบรวมไม้
BH_Title_30000032,Collect Ore,รวบรวมแร่
BH_Title_30000033,Collect Weapon,รวบรวมอาวุธ
BH_Title_30000034,Collect Armor,รวบรวมชุดเกราะ
BH_Title_30000035,Collect Herb,รวบรวมสมุนไพร
BH_Title_30000036,Collect Food,รวบรวมอาหาร
BH_Title_30000037,Collect Fruit,รวบรวมผลไม้
BH_Title_30000038,Collect Wine,รวบรวมสุรา
BH_Title_30000039,Collect Medicine,รวบรวมยา
BH_Title_30000040,Collect Side,รวบรวมเครื่องเคียง
BH_Title_30000041,Collect Wood,รวบรวมไม้
BH_Title_30000042,Collect Ore,รวบรวมแร่
BH_Title_30000043,Collect Weapon,รวบรวมอาวุธ
BH_Title_30000044,Collect Armor,รวบรวมชุดเกราะ
BH_Title_30000045,Kill the wild wolf,กำจัดหมาป่า
BH_Title_30000046,Kill the wild wolf,กำจัดหมาป่า
BH_Title_30000047,Wolf King Xiao Yue,ราชาหมาป่าเสี่ยวเยว่
BH_Title_3200001,Collect Weapon,รวบรวมอาวุธ
BH_Title_3200002,Collect Armor,รวบรวมชุดเกราะ
BH_Title_3200003,Collect Fruit,รวบรวมผลไม้
BH_Title_3200004,Collect Medicine,รวบรวมยา
BH_Title_3200005,Collect Herb,รวบรวมสมุนไพร
BH_Title_3200006,Collect Bug,รวบรวมแมลง
BH_Title_3200007,Collect Ornament,รวบรวมของประดับ
BH_Title_3200008,Collect Weapon,รวบรวมอาวุธ
BH_Title_3200009,Collect Armor,รวบรวมชุดเกราะ
BH_Title_3200010,Collect Fruit,รวบรวมผลไม้
BH_Title_3200011,Collect Medicine,รวบรวมยา
BH_Title_3200012,Collect Herb,รวบรวมยา
BH_Title_3200013,Collect Bug,รวบรวมแมลง
BH_Title_3200014,Collect Ornament,รวบรวมของประดับ
BH_Title_3200015,Collect Fruit,รวบรวมผลไม้
BH_Title_3200016,Collect Medicine,รวบรวมยา
BH_Title_3200017,Collect Herb,รวบรวมสมุนไพร
BH_Title_3200018,Collect Bug,รวบรวมแมลง
BH_Title_3200019,Collect Ornament,รวบรวมของประดับ
BH_Title_3200020,Kill the wild wolf,กำจัดหมาป่า
BH_Title_3200021,Kill the wild wolf,กำจัดหมาป่า
BH_Title_3200022,Wolf King Xiao Yue,ราชาหมาป่าเสี่ยวเยว่
BH_Title_5800001,Collect Weapon,รวบรวมอาวุธ
BH_Title_5800002,Collect Armor,รวบรวมชุดเกราะ
BH_Title_5800003,Collect Throwing,รวบรวมอาวุธลับ
BH_Title_5800004,Collect Food,รวบรวมอาหาร
BH_Title_5800005,Collect Side,รวบรวมเครื่องเคียง
BH_Title_5800006,Collect Medicine,รวบรวมยา
BH_Title_5800007,Collect Herb,รวบรวมสมุนไพร
BH_Title_5800008,Collect Bug,รวบรวมแมลง
BH_Title_5800009,Collect Toxic,รวบรวมพิษ
BH_Title_5800010,Collect Weapon,รวบรวมอาวุธ
BH_Title_5800011,Collect Armor,รวบรวมชุดเกราะ
BH_Title_5800012,Collect Throwing,รวบรวมอาวูลับ
BH_Title_5800013,Collect Food,รวบรวมอาหาร
BH_Title_5800014,Collect Side,รวบรวมเครื่องเคียง
BH_Title_5800015,Collect Medicine,รวบรวมยา
BH_Title_5800016,Collect Herb,รวบรวมสมุนไพร
BH_Title_5800017,Collect Bug,รวบรวมแมลง
BH_Title_5800018,Collect Toxic,รวบรวมพิษ
BH_Title_5800019,Collect Weapon,รวบรวมอาวุธ
BH_Title_5800020,Collect Armor,รวบรวมชุดเกราะ
BH_Title_5800021,Collect Throwing,รวบรวมอาวูลับ
BH_Title_5800022,Collect Food,รวบรวมอาหาร
BH_Title_5800023,Collect Side,รวบรวมเครื่องเคียง
BH_Title_5800024,Collect Medicine,รวบรวมยา
BH_Title_5800025,Collect Herb,รวบรวมสมุนไพร
BH_Title_5800026,Collect Bug,รวบรวมแมลง
BH_Title_5800027,Collect Toxic,รวบรวมพิษ
BH_Title_5800028,Collect Weapon,รวบรวมอาวุธ
BH_Title_5800029,Collect Armor,รวบรวมชุดเกราะ
BH_Title_5800030,Collect Throwing,รวบรวมอาวูลับ
BH_Title_5800031,Collect Food,รวบรวมอาหาร
BH_Title_5800032,Collect Side,รวบรวมเครื่องเคียง
BH_Title_5800033,Collect Medicine,รวบรวมยา
BH_Title_5800034,Collect Herb,รวบรวมสมุนไพร
BH_Title_5800035,Collect Bug,รวบรวมแมลง
BH_Title_5800036,Collect Toxic,รวบรวมพิษ
BH_Title_5800037,Provoke Crime Investigation Bureau,ยั่วโมโหมือปราบ
BH_Title_5800038,Provoke Crime Investigation Bureau,ยั่วยุสำนักสืบสวน
BH_Title_5800039,Kill Luo Qianxue,สังหารลั่วฉียนเสวี่ย
BH_Title_5800040,Kill Qiu Zhimo,สังหาร Qiu Zhimo
BH_Title_5800041,Kill Luo Tianxiong,สังหารลั่วเทียนเซี่ยง
BH_Title_6500001,Collect Weapon,รวบรวมอาวุธ
BH_Title_6500002,Collect Armor,รวบรวมชุดเกราะ
BH_Title_6500003,Collect Fruit,รวบรวมผลไม้
BH_Title_6500004,Collect Medicine,รวบรวมยา
BH_Title_6500005,Collect - Wine,รวบรวม - สุรา
BH_Title_6500006,Collect Weapon,รวบรวมอาวุธ
BH_Title_6500007,Collect Armor,รวบรวมอาวุธ
BH_Title_6500008,Collect Fruit,รวบรวมผลไม้
BH_Title_6500009,Collect Medicine,รวบรวมยา
BH_Title_6500010,Collect - Wine,รวบรวม - สุรา
BH_Title_6500011,Sanction Nest of Swallow
BH_Title_6500012,Sanction Nest of Swallow
BH_Title_6500013,Sanction Bu Juechen
BH_Title_6500014,Sanction Hua Qingqing
BH_Title_6500015,Sanction Tomb Raider Sect,การลงโทษสำนักปล้นสุสาน
BH_Title_6500016,Sanction Tomb Raider Sect,การลงโทษสำนักปล้นสุสาน
BH_Title_6500017,Sanction Ming Bufan
BH_Title_6500018,Catch the thief,จับขโมย
BH_Title_6500019,Catch the notorious thief,จับกุมมหาโจร
BH_Title_6500020,Catch the flower thief,จับกุมลูกสมุนโจร
BH_Title_6500021,Catch the old woman,จับหญิงชรา
BH_Title_6500022,Catch the grasshopper,จับตั๊กแตน
BH_Title_6500023,Catch the monk who broke the precepts,จับกุมหลวงจีนทุศีล
BH_Title_6500024,Catch the one-eyed dragon,จับกุมมังกรตาเดียว
BH_Title_6500025,Catch the Kunlun slave,จับกุมทาสคุนหลุน
BH_Title_6500026,Catch the cultist,จับกุมผู้นับถือลัทธิ
BH_Title_40000001,Collect Weapon,รวบรวมอาวุธ
BH_Title_40000002,Collect Armor,รวบรวมชุดเกราะ
BH_Title_40000003,Collect Food,รวบรวมอาหาร
BH_Title_40000004,Collect Side,รวบรวมเครื่องเคียง
BH_Title_40000005,Collect Fruit,รวบรวมผลไม้
BH_Title_40000006,Collect Medicine,รวบรวมยา
BH_Title_40000007,Collect Aquatic,รวบรวมสัตว์น้ำ
BH_Title_40000008,Collect Ore,รวบรวมแร่
BH_Title_40000009,Collect - Wine,รวบรวม - สุรา
BH_Title_40000010,Collect Wood,รวบรวมไม้
BH_Title_40000011,Collect Herb,รวบรวมสมุนไพร
BH_Title_40000012,Collect Bug,รวบรวมแมลง
BH_Title_40000013,Collect Toxic,รวบรวมพิษ
BH_Title_40000014,Collect Toy,รวบรวมของเล่น
BH_Title_40000015,Collect Ornament,รวบรวมของประดับ
BH_Title_40000016,Collect Weapon,รวบรวมอาวุธ
BH_Title_40000017,Collect Armor,รวบรวมชุดเกราะ
BH_Title_40000018,Collect Food,รวบรวมอาหาร
BH_Title_40000019,Collect Side,รวบรวมเครื่องเคียง
BH_Title_40000020,Collect Fruit,รวบรวมผลไม้
BH_Title_40000021,Collect Medicine,รวบรวมยา
BH_Title_40000022,Collect Aquatic,รวบรวมสัตว์น้ำ
BH_Title_40000023,Collect Ore,รวบรวมแร่
BH_Title_40000024,Collect - Wine,รวบรวม - สุรา
BH_Title_40000025,Collect Wood,รวบรวมไม้
BH_Title_40000026,Collect Herb,รวบรวมสมุนไพร
BH_Title_40000027,Collect Bug,รวบรวมแมลง
BH_Title_40000028,Collect Toxic,รวบรวมพิษ
BH_Title_40000029,Collect Toy,รวบรวมของเล่น
BH_Title_40000030,Collect Ornament,รวบรวมของประดับ
BH_Title_40000031,Collect Weapon,รวบรวมอาวุธ
BH_Title_40000032,Collect Armor,รวบรวมชุดเกราะ
BH_Title_40000033,Collect Food,รวบรวมอาหาร
BH_Title_40000034,Collect Side,รวบรวมเครื่องเคียง
BH_Title_40000035,Collect Fruit,รวบรวมผลไม้
BH_Title_40000036,Collect Medicine,รวบรวมยา
BH_Title_40000037,Collect Aquatic,รวบรวมสัตว์น้ำ
BH_Title_40000038,Collect Ore,รวบรวมแร่
BH_Title_40000039,Collect - Wine,รวบรวม - สุรา
BH_Title_40000040,Collect Wood,รวบรวมไม้
BH_Title_40000041,Collect Herb,รวบรวมสมุนไพร
BH_Title_40000042,Collect Bug,รวบรวมแมลง
BH_Title_40000043,Collect Toxic,รวบรวมพิษ
