﻿M2170-2_name,People of Hatred for Heaven,ผู้ชิงชังสวรรค์
M2170-2_overview1,"E Qigai, the Guardian of Nine Factions Sect, said he would wait at Bandit Chief Stronghold for a day. If you want to join Nine Factions Sect, go find him.",ผู้คุ้มกฎนิกายเก้าฝ่าย เอ้อร์ฉีไก้ กล่าวว่า เขาจะรออยู่ที่ค่ายหัวหน้าโจรหนึ่งวัน หากเจ้าอยากเข้านิกายเก้าฝ่ายให้ไปพบเขา
R10003-6_talk,Little Seven,เสี่ยวฉี
School-2150-2_name,Nine Factions Sect Examination,การสอบเข้านิกายเก้าฝ่าย
School-2150-2_talk,Examination,การทดสอบ
School-2150-2_overview1,Go to the Training field of Nine Factions Sect to find E Qigai.,เดินทางไปยังลานฝึกของนิกายเก้าฝ่ายตามหา เอ้อร์ฉีไก้
School-2150-2_overview2,"Defeat the Training Disciple of Nine Factions Sect ten times, then ask E Qigai about the examination.",เอาชนะศิษย์ฝึกวิชานิกายเก้าฝ่าย ด้วยกำลังสิบส่วน แล้วค่อยไปขอคำแนะนำจาก เอ้อร์ฉีไก้
School-2150-2_overview3,Report to Tie Mianren that Horse King Cave has been wiped out.,รายงานต่อบุรุษหน้ากากเหล็กว่า ถ้ำราชาม้าถูกทำลายแล้ว
School-2150-2_overview4,"Go to exterminate Horse King Cave!\nHorse King Cave is in the northern mountains of Wuyue Region, you can go there to find it.","ไปกวาดล้างถ้ำราชาม้า!\nถ้ำราชาม้าตั้งอยู่ในเขาตอนเหนือของเขตอู๋เยว่ เจ้าจงไปค้นหาที่นั่น"
Day-2150-1_talk,Spar,ประลองฝีมือ
M1100-10_0_overview1,Go to Lost Forest to find Bandit Chief Stronghold Mountain Bandit.,เดินทางไปป่าสาบสูญ เพื่อตามหากองโจรค่ายหัวหน้าโจร
M1100-10_0_overview2,Go to exterminate Bandit Chief Stronghold!,ไปกวาดล้างค่ายหัวหน้าโจร!
M1100-10_0_name1,Young Man's Voice,เสียงของชายหนุ่ม
M1100-10_0_name2,Old Man's Voice,เสียงของเฒ่าชรา
M1100-10_0_name3,Child's Voice,เสียงของเด็กน้อย
M1100-10_0_name4,Arrogant Voice,เสียงที่เย่อหยิ่ง
Day-2150-2_name,Poisonous Insects and Herbs,แมลงและสมุนไพรพิษ
Day-2150-2_talk,Task,ภารกิจ
Day-2150-2_overview0,Du Yapo needs help with the task of collecting Toxics.,ตู๋หยาผอ ต้องการให้ช่วยงานเก็บรวบรวมวัตถุดิบพิษ
Day-2150-2_overview1,Help Du Yapo collect 10 Millipedes.,ช่วยตู๋หยาผอรวบรวมกิ้งกือ 10 ตัว
Day-2150-2_overview2,Help Du Yapo collect 10 Safflowers.,ช่วยตู๋หยาผอรวบรวมดอกคำฝอย 10 ช่อ
Day-2150-2_overview3,Help Du Yapo collect 5 Scorpions.,ช่วยตู๋หยาผอรวบรวมแมงป่อง 5 ตัว
Day-2150-2_overview4,Help Du Yapo collect 5 Black grass.,ช่วยตู๋หยาผอรวบรวมเฉาอู 5 หัว
Day-2150-2_overview5,Help Du Yapo collect 3 Tian lou.,ช่วยตู๋หยาผอรวบรวมแมลงกระชอน 3 ตัว
Day-2150-2_overview6,Help Du Yapo collect 3 portions of Man Tuoluo.,ช่วยตู๋หยาผอรวบรวมดอกลำโพงม่วง 3 ดอก
Day-2150-2_overview7,Help Du Yapo collect 1 Blue waist.,ช่วยตู๋หยาผอรวบรวมแมลงก้นกระดก 1 ตัว
Day-2150-2_overview8,Help Du Yapo collect 1 portion of Arisaema.,ช่วยตู๋หยาผอรวบรวมโหราน้ำเต้า 1 หัว
Day-2150-2_overview9,You have already helped Du Yapo collect Toxic today.,วันนี้เจ้าได้ช่วยตู๋หยาผอรวบรวมวัตถุดิบมีพิษเรียบร้อยแล้ว
Day-2150-2_overview10,You can help Du Yapo collect Toxic today.,วันนี้สามารถช่วยตู๋หยาผอรวบรวมวัตถุดิบมีพิษได้
Skill-2150-1_name,The Art of Poison Control,ศาสตร์การควบคุมพิษ
Skill-2150-1_talk,Skill,ทักษะ
Skill-2150-1_overview1,"After concocting an Anesthetic drug, request the method of Poison from Du Yapo.",หลังจากปรุง 'ยาสลบ' ได้แล้ว ไปขอตำรับยาพิษเพิ่มจากตู๋หยาผอได้
Skill-2150-1_overview2,"After concocting a Tendon breaking pill, request a more potent Poison formula from Du Yapo.",หลังจากปรุง 'พิษสลายเส้นเอ็น' ได้แล้ว ไปขอตำรับยาพิษที่รุนแรงกว่านี้จากตู๋หยาผอได้
Skill-2150-1_overview3,Give the Anesthetic drug <color=#c44b0e>Poison</color> to Machinery Man.,นำ 'ยาสลบ' ไป <color=#c44b0e>วางยาพิษ</color> หุ่นกลไล
Skill-2150-1_overview4,"After concocting a Tendon breaking pill, request a more potent Poison formula from Du Yapo.",หลังจากปรุง 'พิษสลายเส้นเอ็น' ได้แล้ว ไปขอตำรับยาพิษที่รุนแรงกว่านี้จากตู๋หยาผอได้
Skill-2150-1_overview5,"After concocting a Tendon breaking pill, request a more potent Poison formula from Du Yapo.",หลังจากปรุง 'พิษสลายเส้นเอ็น' ได้แล้ว ไปขอตำรับยาพิษที่รุนแรงกว่านี้จากตู๋หยาผอได้
Skill-2150-1_overview6,"After concocting an Intestine destroying pill, request a more potent Poison formula from Du Yapo.",หลังจากปรุง 'พิษไส้ขาด' ได้แล้ว ไปขอตำรับยาพิษที่รุนแรงกว่านี้จากตู๋หยาผอได้
Day-2150-3_talk,Spar,ประลองฝีมือ
School-2150-3_NPCname1,Old voice,เสียงชรา
School-2150-3_name,Rumors Stirring the Three Sects,เสียงเล่าลือที่กระตุ้นทั้งสามสำนัก
School-2150-3_overview1,Go to Chuxiang City and spread rumors about the three sects.,ไปยังเมืองฉู่เซียงและแพร่ข่าวลือเกี่ยวกับทั้งสามสำนัก
School-2150-3_overview2,Prepare to meet with Sun Daoren and head to Chuxiang City. He is waiting for you at the entrance of the Nine Factions Sect.,เตรียมตัวพบกับ ซุนเต้าเหริน และมุ่งหน้าไปยังเมืองฉู่เซียง เขากำลังรอเจ้าอยู่ที่ประตูนิกายเก้าฝ่าย
School-2150-3_overview3,"Once prepared, head to Dirty Street.",เมื่อเตรียมการเสร็จสิ้น จงมุ่งหน้าสู่ตรอกเล้าหมู
School-2150-3_overview4,"Go to the Market, Sorrowless Tavern, Prosperous Inn during the day to see the effects of the rumors.","ไปยังตลาด, หอสุราลืมทุกข์, และโรงเตี๊ยมรุ่งโรจน์ในยามกลางวัน เพื่อดูผลของข่าวลือ"
School-2150-3_overview5,Go to the statue of the great hero to gather information.,ไปที่รูปปั้นของจอมยุทธ์ผู้ยิ่งใหญ่เพื่อรวบรวมข้อมูล
R10030-3_name,Lin'an Gu Poison,พิษกู่หลินอัน
R10030-3_talk,Lin'an,หลินอัน
