﻿MapName_1000,Nameless Region,พื้นที่ไร้นาม
MapName_1001,Xiangfan Region,มณฑลเซียงฟาน
MapName_1002,Zhongzhou Region,มณฑลจงโจว
MapName_1003,Wuyue Region,มณฑลอู๋เยี่ยว์
MapName_1004,Southwest region,แดนตะวันตกเฉียงใต้
MapName_1100_0,Farmland,พื้นที่เกษตร
MapName_1100,Nameless village,หมู่บ้านไร้นาม
MapName_1101,Nameless hotel,โรงเตี๊ยมไร้นาม
MapName_1104_0,Village leader's house,บ้านหัวหน้าหมู่บ้าน
MapName_1102,Village leader's house - Secret chamber,บ้านหัวหน้าหมู่บ้าน - ห้องลับ
MapName_1103,Village leader's house - Bedroom,บ้านหัวหน้าหมู่บ้าน - ห้องนอน
MapName_1104,Village leader's house - Main hall,บ้านหัวหน้าหมู่บ้าน - โถงหลัก
MapName_1105,Blacksmith's forge,โรงตีเหล็ก
MapName_1106,Hunter's house,บ้านนายพราน
MapName_1107,Woodcutter's house,บ้านคนตัดฟืน
MapName_1108,Shabby house,บ้านทรุดโทรม
MapName_1109,Inn - Guest room,โรงเตี๊ยม - ห้องพัก
MapName_1200_0,Prison,คุก
MapName_1200_1,Training field,ลานฝึก
MapName_1200,Gentle Breeze Camp or Fortress,ค่ายวายุคราม
MapName_1201,Meeting Room,ห้องประชุม
MapName_1202,Treasure room,ห้องสมบัติ
MapName_1203,Bedroom,ห้องนอน
MapName_1204,Storage Room,ห้องเก็บของ
MapName_1300,Wasteland,แดนรกร้าง
MapName_1301,Dilapidated Temple,ศาลเจ้าร้าง
MapName_1302,Dilapidated Temple - Secret chamber,ศาลเจ้าร้าง - ห้องลับ
MapName_1400,Lost Forest,ป่าสาปสูญ
MapName_1401,Suspension Bridge,สะพานแขวน
MapName_1402,Enlightenment zone,สถานที่ตื่นรู้
MapName_1500,Wild Wolf Valley,หุบเขาหมาป่า
MapName_1501,Wolf King Cave,ถ้ำราชาหมาป่า
MapName_1600,Cross Hill,หุบเขาทางแยก
MapName_1700,Ferry,ท่าเรือ
MapName_2000,Half Amateur Studio,Half Full Studio
MapName_5001,Mass Burial Ground,สุสาน
MapName_5002,
MapName_5003,Tea Stall,แผงน้ำชา
MapName_5004,Faraway village,หมู่บ้านห่างไกล
MapName_5005,Refugee Camp,ค่ายผู้ลี้ภัย
MapName_5006,
MapName_5007,Nameless Region Port,ท่าเรือไร้นาม
MapName_5008,Xiangfan Region Port,ท่าเรือเซียงฟาน
MapName_5009,Wuyue Region Port,ท่าเรืออู๋เยี่ยว์
MapName_5011,Nameless cave,ถ้ำไร้นาม
MapName_5012,Test Cutting Platform,ลานประลองทดสอบกระบี่
MapName_5013,Merchant ship,เรือพ่อค้า
MapName_5014,West Border Patrol,ด่านชายแดนตะวันตก
MapName_5015,Ritual Platform,ปะรำพิธี
MapName_5016,God of Marriage's Shrine,ศาลเจ้าเทพเจ้าแห่งการแต่งงาน
MapName_5018,
MapName_5019,
MapName_5020,Above river,เหนือน่านน้ำ
MapName_5022,Above river,เหนือน่านน้ำ
MapName_5025,Zhongzhou Region Port,ท่าเรือจงโจว
MapName_5026,
MapName_5029,Mountain cave,ถ้ำภูเขา
MapName_5030,Sea Serpent Gang,พรรคอสรพิษสมุทร
MapName_5033,Deserted Courtyard,ลานรกร้าง
MapName_5034,
MapName_5035,
MapName_5036,
MapName_5037,Imperial Palace Hall,ห้องโถงพระราชวังหลวง
MapName_5038,Zhongzi Contest,การแข่งขันทำบ๊ะจ่าง
MapName_5039,Supreme Court,ศาลสูงสุด
