key,original,translation,context
FondTag_武器,Weapon,,武器
FondTag_拳套,Glove,,拳套
FondTag_剑,Sword,,剑
FondTag_刀,Knife,,刀
FondTag_枪,Spear,,枪
FondTag_棍,Stick,,棍
FondTag_扇子,Fan,,扇子
FondTag_匕首,Dagger,,匕首
FondTag_笔,Pen,,笔
FondTag_琴,Zither,,琴
FondTag_箫,Flute,,箫
FondTag_锤,Hammer,,锤
FondTag_琵琶,Lute,,琵琶
FondTag_暗器,Throwing,,暗器
FondTag_护甲,Armor,,防具
FondTag_配饰,Accessory,,配饰
FondTag_秘籍,Manual,,秘籍
FondTag_药材,Herb,,药材
FondTag_毒物,Toxic,,毒物
FondTag_食物,Food,,食物
FondTag_主食,Main,,主食
FondTag_菜肴,Side,,菜肴
FondTag_汤水,Soup,,汤水
FondTag_甜食,Sweets,,甜食
FondTag_水果,Fruit,,水果
FondTag_药品,Medicine,,药品
FondTag_丹药,Pill,,丹药
FondTag_典籍,Archive,,典籍
FondTag_食材,Ingredient,,食材
FondTag_蔬菜,Vegetable,,蔬菜
FondTag_豆类,Bean,,豆类
FondTag_山珍,Wild herb,,山珍
FondTag_调料,Spice,,调料
FondTag_面,Noodles,,面
FondTag_肉食,Meat,,肉食
FondTag_畜肉,Cattle meat,,畜肉
FondTag_野味,Wild game,,野味
FondTag_水产,Aquatic,,水产
FondTag_河鲜,Fresh water,,河鲜
FondTag_鱼类,Fish,,鱼类
FondTag_茶叶,Tea leaf,,茶叶
FondTag_绘画,Painting,,画卷
FondTag_字帖,Calligraphy,,字帖
FondTag_玩具,Toy,,玩具
FondTag_装饰,Ornament,,摆件
FondTag_文房,Study,,文房
FondTag_器具,Appliance,,器具
FondTag_小说,Novel,,小说
FondTag_公案小说,Detective novel,,公案小说
FondTag_言情小说,Romance novel,,言情小说
FondTag_志怪小说,Miscellaneous novel,,志怪小说
FondTag_侠义小说,Wuxia novel,,侠义小说
FondTag_化妆品,Cosmetic,,化妆品
FondTag_眉黛,Eyebrow,,眉黛
FondTag_胭脂,Lipstick,,胭脂
FondTag_妆粉,Powder,,妆粉
FondTag_酒,Wine,,酒
FondTag_碎银,Scrap silver,,碎银
FondTag_金银,Gold,,金银
FondTag_虫子,Bug,,虫子
FondTag_矿石,Ore,,矿石
FondTag_宝石,Gem,,宝石
FondTag_木材,Wood,,木材
FondTag_皮革,Leather,,皮革
FondTag_布料,Cloth,,布料
FondTag_水,Water,,水
FondTag_鉴定物品,Appraise item,,鉴定物品
FondTag_宝箱物品,Item chest,,宝箱物品
FondTag_工具,Tool,,工具
FondTag_货币,Money,,货币
FondTag_经验,Experience,,经验
FondTag_毒药,Poison,,毒药
FondTag_钱袋,Money bag,,钱袋
FondTag_菜刀,Kitchen knife,,菜刀
FondTag_包裹,Inventory,,包裹
FondTag_铜管,Cooper tube,,铜管
FondTag_锦盒,Brocade box,,锦盒
FondTag_竹简,Bamboo script,,竹简
FondTag_书籍,Book,,书籍
FondTag_宝箱,Chest,,宝箱
FondTag_钥匙,Key,,钥匙
FondTag_材料,Material,,材料
FondTag_令牌,Token,,令牌
FondTag_兽环,Animal ring,,兽环
FondTag_经书,Scripture,,经书
FondTag_结缘,Betrothal,,结缘
FondTag_珍品,,,
FondTag_释法寺典籍,,,
UnitName_枚,Piece,,枚
UnitName_点,Dot,,点
UnitName_块,Block,,块
UnitName_副,Pair,,副
UnitName_把,Handle,,把
UnitName_杆,Pole,,杆
UnitName_根,Root,,根
UnitName_柄,Handle,,柄
UnitName_支,Stick,,支
UnitName_张,Sheet,,张
UnitName_件,Item,,件
UnitName_束,Bundle,,束
UnitName_个,Individual,,个
UnitName_朵,Blossom,,朵
UnitName_贴,Patch,,贴
UnitName_条,Strip,,条
UnitName_只,Only,,只
UnitName_口,Mouth,,口
UnitName_颗,Grain,,颗
UnitName_组,Group,,组
UnitName_包,Pack,,包
UnitName_本,Book,,本
UnitName_封,Seal,,封
UnitName_堆,Pile,,堆
UnitName_两,Two,,两
UnitName_份,Portion,,份
UnitName_笼,Cage,,笼
UnitName_碗,Bowl,,碗
UnitName_串,String,,串
UnitName_瓶,Bottle,,瓶
UnitName_坛,Jar,,坛
UnitName_桶,Barrel,,桶
UnitName_匹,Horse,,匹
UnitName_盒,Box,,盒
UnitName_罐,Can,,罐
UnitName_方,Square,,方
UnitName_壶,Pot,,壶
UnitName_杯,Cup,,杯
UnitName_段,Segment,,段
UnitName_卷,Roll,,卷
ItemName_铜钱,Coin,,铜钱
ItemName_江湖历练,Jianghu Knowledge,,江湖历练
ItemName_名声历练,Fame point,,名声历练
ItemName_门派贡献,Sect contribution,,门派贡献
ItemName_试炼令牌,Trial token,,试炼令牌
ItemName_残渣,Residue,,残渣
ItemName_粗布裹手,Simple cloth bag,,粗布裹手
ItemName_棉布手套,Cotton bag,,棉布手套
ItemName_皮革手套,Leather bag,,皮革手套
ItemName_兽纹手套,Beast-pattern bag,,兽纹手套
ItemName_铁手,Iron fist,,铁手
ItemName_缠丝拳套,Silk glove,,缠丝拳套
ItemName_精钢护手,Steel gauntlet,,精钢护手
ItemName_震山拳套,Mountain Basher glove,,震山拳套
ItemName_铁虎爪,Iron tiger claw,,铁虎爪
ItemName_奔雷铁手,Quick gauntlet,,奔雷铁手
ItemName_幽冥拳套,Hell glove,,幽冥拳套
ItemName_金刚护手,Diamond gauntlet,,金刚护手
ItemName_寒铁拳套,Cold iron glove,,寒铁拳套
ItemName_昆仑,Kunlun,,昆仑
ItemName_降龙,Dragon Slayer,,降龙
ItemName_乾坤,Heaven and Earth,,乾坤
ItemName_开明,Enlightened,,开明
ItemName_少昊,Freedom,,少昊
ItemName_北冥,North Sea,,北冥
ItemName_木剑,Wooden sword,,木剑
ItemName_黑铁剑,Black iron sword,,黑铁剑
ItemName_青铜剑,Bronze sword,,青铜剑
ItemName_生铁剑,Cast iron sword,,生铁剑
ItemName_白虹剑,Rainbow sword,,白虹剑
ItemName_紫电剑,Lightning sword,,紫电剑
ItemName_游龙剑,Dragon sword,,游龙剑
ItemName_青罡剑,Blue Steel sword,,青罡剑
ItemName_倚天剑,Heaven sword,,倚天剑
ItemName_青冥剑,Dawn sword,,青冥剑
ItemName_承影剑,Shadow sword,,承影剑
ItemName_百炼剑,Damascus sword,,百炼剑
ItemName_龙渊剑,Abyss Dragon sword,,龙渊剑
ItemName_干将,Ganjiang,,干将
ItemName_含光,Hidden Light,,含光
ItemName_鱼肠,Fish Stomach,,鱼肠
ItemName_轩辕,Xuanyuan,,轩辕
ItemName_九凤,Nine Phoenix,,九凤
ItemName_巨阙,The Giant,,巨阙
ItemName_大石剑,Big stone sword,,大石剑
ItemName_菜刀,Kitchen knife,,菜刀
ItemName_剔骨尖刀,Bone remover knife,,剔骨尖刀
ItemName_砍柴刀,Hatchet,,砍柴刀
ItemName_大砍刀,Big blade,,大砍刀
ItemName_砍山刀,Mountain blade,,砍山刀
ItemName_九环刀,Nine rings blade,,九环刀
ItemName_宣花斧,Xuanhua axe,,宣花斧
ItemName_碎宇刀,Rain Breaker,,碎宇刀
ItemName_冷艳锯,Cold Saw,,冷艳锯
ItemName_绣春刀,Officer blade,,绣春刀
ItemName_太乙刀,Taiyi blade,,太乙刀
ItemName_修罗刀,Shura blade,,修罗刀
ItemName_绿露刀,Six ways blade,,绿露刀
ItemName_玄铁菜刀,Black iron blade,,玄铁菜刀
ItemName_大夏龙雀,Summer Sparrow,,大夏龙雀
ItemName_犬神刀,Canine God,,犬神刀
ItemName_龙牙刀,Dragon Tooth,,龙牙刀
ItemName_昆吾,Kunwu,,昆吾
ItemName_应龙,Ying Dragon,,应龙
ItemName_刑天,Xingtian,,刑天
ItemName_红缨枪,Red spear,,红缨枪
ItemName_梅花枪,Plum spear,,梅花枪
ItemName_雁翅枪,Wings spear,,雁翅枪
ItemName_钢叉,Trident,,钢叉
ItemName_木枪,Wooden spear,,木枪
ItemName_蛇矛枪,Snake spear,,蛇矛枪
ItemName_混铁枪,Iron spear,,混铁枪
ItemName_牛角叉,Horn trident,,牛角叉
ItemName_梨花枪,Pear Blossom,,梨花枪
ItemName_霸王枪,Emperor Spear,,霸王枪
ItemName_沥泉枪,Slipstream Spear,,沥泉枪
ItemName_句芒,Jumang,,句芒
ItemName_勾陈,Gouchen,,勾陈
ItemName_混沌,Origin,,混沌
ItemName_烧火棍,Fire stick,,烧火棍
ItemName_木棍,Wooden stick,,木棍
ItemName_木杵,Wooden hammer,,木杵
ItemName_竹竿,Bamboo stick,,竹竿
ItemName_短棒,Short stick,,短棒
ItemName_镔铁杖,Steel staff,,镔铁杖
ItemName_齐眉棍,Eyebrow staff,,齐眉棍
ItemName_青竹杖,Bamboo staff,,青竹杖
ItemName_长弓,Long bow,,长弓
ItemName_盘龙棍,Dragon staff,,盘龙棍
ItemName_齐天棍,Heaven staff,,齐天棍
ItemName_囚龙柱,Dragon Seal,,囚龙柱
ItemName_烛阴,Zhuyin,,烛阴
ItemName_穷奇,Qiongqi,,穷奇
ItemName_亮银锤,Silver hammer,,亮银锤
ItemName_大铁锤,Big Iron Hammer,,大铁锤
ItemName_蒲扇,Cattail fan,,蒲扇
ItemName_折扇,Folding fan,,折扇
ItemName_鹅羽扇,Butterfly fan,,鹅羽扇
ItemName_铁骨扇,Steel fan,,铁骨扇
ItemName_团扇,Round fan,,团扇
ItemName_绢宫扇,Silk palace fan,,绢宫扇
ItemName_雕翎扇,Eagle feather fan,,雕翎扇
ItemName_留香扇,Liuxiang fan,,留香扇
ItemName_西江月,Moon over West River,,西江月
ItemName_满江红,Prismatic River,,满江红
ItemName_破阵子,Formation Breaker,,破阵子
ItemName_定风波,Ding Fengbo,,定风波
ItemName_浪淘沙,Waves Scouring the Sands,,浪淘沙
ItemName_卜算子,Fortune Teller,,卜算子
ItemName_祝融,Zhurong,,祝融
ItemName_夸父,Kuafu,,夸父
ItemName_青丘,Qingqiu,,青丘
ItemName_短剑,Short sword,,短剑
ItemName_匕首,Dagger,,匕首
ItemName_峨嵋刺,Emei dagger,,峨嵋刺
ItemName_短刀,Short blade,,短刀
ItemName_狼牙匕,Wolf fang dagger,,狼牙匕
ItemName_点钢刺,Diangang dagger,,点钢刺
ItemName_三棱锥,Tri-dagger,,三棱锥
ItemName_飞来梭,Flying dagger,,飞来梭
ItemName_流云锥,Drifting Cloud,,流云锥
ItemName_孤星刺,Lone Star,,孤星刺
ItemName_飞影匕,Flying Shadow,,飞影匕
ItemName_织女梭,Weaver Girl,,织女梭
ItemName_残雪刺,Last Snow,,残雪刺
ItemName_嘲风,Wind Jester,,嘲风
ItemName_精卫,Jingwei,,精卫
ItemName_睚眦,Vengeful,,睚眦
ItemName_狼毫笔,Wolf hair pen,,狼毫笔
ItemName_羊毫笔,Goat hair pen,,羊毫笔
ItemName_猪鬃笔,Pig hair pen,,猪鬃笔
ItemName_鼠须笔,Mouse whisker pen,,鼠须笔
ItemName_圆锋,Round Edge,,圆锋
ItemName_昌化,Changhua,,昌化
ItemName_佩阿,Peia,,佩阿
ItemName_鸡距,Cockspur,,鸡距
ItemName_鹿毛笔,Deer hair pen,,鹿毛笔
ItemName_龙须,Dragon Whisker,,龙须
ItemName_麟角,Unicorn Horn,,麟角
ItemName_太虚,Taixu,,太虚
ItemName_玄黄,Mysterious Yellow,,玄黄
ItemName_洪荒,Primal Land,,洪荒
ItemName_梧桐琴,Parasol Tree,,梧桐琴
ItemName_玉瑶琴,Beautiful Jade,,玉瑶琴
ItemName_响泉琴,Melody River,,响泉琴
ItemName_百纳琴,Assimilator,,百纳琴
ItemName_七弦,Seven Strings,,七弦
ItemName_落霞,Sunset,,落霞
ItemName_独幽,Loneliness,,独幽
ItemName_春雷,Spring Thunder,,春雷
ItemName_焦尾,Scorched Tail,,焦尾
ItemName_绿绮,Green Beauty,,绿绮
ItemName_绕梁,Lingering,,绕梁
ItemName_号钟,Bell Sound,,号钟
ItemName_囚牛,Qiuniu,,囚牛
ItemName_木箫,Wooden flute,,木箫
ItemName_洞箫,Hole flute,,洞箫
ItemName_竹箫,Bamboo flute,,竹箫
ItemName_铁箫,Iron flute,,铁箫
ItemName_紫竹箫,Violet bamboo flute,,紫竹箫
ItemName_玉屏箫,Jade flute,,玉屏箫
ItemName_九节箫,Nine-sections flute,,九节箫
ItemName_枉凝眉,Vain Eyebrows,,枉凝眉
ItemName_关山月,Mountain Moon,,关山月
ItemName_冷沧浪,Blue Waves,,冷沧浪
ItemName_有凤来仪,Phoenix's Grace,,有凤来仪
ItemName_碧海潮声,Sound of the Tide,,碧海潮声
ItemName_笑傲江湖,Proud Wanderer,,笑傲江湖
ItemName_硬木琵琶,Wooden lute,,硬木琵琶
ItemName_鸡翅琵琶,Chicken wing lute,,鸡翅琵琶
ItemName_花梨琵琶,Pear lute,,花梨琵琶
ItemName_紫檀琵琶,Rosewood lute,,紫檀琵琶
ItemName_牛角琵琶,Ox horn lute,,牛角琵琶
ItemName_象牙琵琶,Elephant tooth lute,,象牙琵琶
ItemName_玉石琵琶,Jade lute,,玉石琵琶
ItemName_双凤琵琶,Twin Phoenix lute,,双凤琵琶
ItemName_绕殿雷,Circling Thunder,,绕殿雷
ItemName_烧槽,Burning Hole,,烧槽
ItemName_玄象,Mysterious Elephant,,玄象
ItemName_青山,Blue Mountain,,青山
ItemName_狮子丸,Lion Ball,,狮子丸
ItemName_窄袖衣,Female clothes,,窄袖衣
ItemName_绢麻衣,Linen clothes,,绢麻衣
ItemName_兽皮袄,Leather clothes,,兽皮袄
ItemName_护心铠,Protection armor,,护心铠
ItemName_粗布衣,Rugged clothes,,粗布衣
ItemName_麻布衣,Cloth robe,,麻布衣
ItemName_戎装,Uniform,,戎装
ItemName_百衲衣,Monk clothes,,百衲衣
ItemName_官差服,Official uniform,,官差服
ItemName_逍遥衣,Wanderer clothes,,逍遥衣
ItemName_精铁内甲,Steel armor,,精铁内甲
ItemName_锁子铠,Chain armor,,锁子铠
ItemName_僧袍,Monk robe,,僧袍
ItemName_道袍,Taoist robe,,道袍
ItemName_夜行衣,Night clothes,,夜行衣
ItemName_儒生服,Student clothes,,儒生服
ItemName_赤翎服,Chiling robe,,赤翎服
ItemName_飞鱼锦服,Flying Fish uniform,,飞鱼锦服
ItemName_侠客装,Jianghu outfit,,侠客装
ItemName_蚕丝衣,Silk clothes,,蚕丝衣
ItemName_青红襦,Blue outfit,,青红襦
ItemName_流云衫,Drifting Cloud robe,,流云衫
ItemName_金刚甲,Diamond armor,,金刚甲
ItemName_明光铠,Glorious armor,,明光铠
ItemName_朱雀服,Phoenix outfit,,朱雀服
ItemName_麒麟甲,Unicorn armor,,麒麟甲
ItemName_玄武铠,Turtle armor,,玄武铠
ItemName_紫罗裙,Purple dress,,紫罗裙
ItemName_山海袍,Mountain and Sea robe,,山海袍
ItemName_袈裟,Seven Artifacts cassock,,七宝袈裟
ItemName_太极服,Taichi outfit,,太极服
ItemName_黑色披风,Black cape,,黑色披风
ItemName_秀才服,Hongru Green Collar,,鸿儒青衿
ItemName_隐形披风,Invisible cape,,隐形披风
ItemName_天蚕宝衣,Silk armor,,天蚕宝衣
ItemName_兽王宝甲,Beast King armor,,兽王宝甲
ItemName_霹雳宝铠,Thunder armor,,霹雳宝铠
ItemName_紫薇,Emperor,,紫薇
ItemName_狻猊,Suanni,,狻猊
ItemName_真武,Zhenwu,,真武
ItemName_碧霞,Jade Cloud,,碧霞
ItemName_不动山,Immovable Mountain,,不动山
ItemName_彩绣香囊,Embroidered sachet,,彩绣香囊
ItemName_粗糙的护身符,Simple Safe-keeping Charm,,粗糙的护身符
ItemName_香包,Sachet,,香包
ItemName_花环,Wreath,,花环
ItemName_艾草束,Wormwood bundle,,艾草束
ItemName_狼牙吊坠,Wolf fang amulet,,狼牙吊坠
ItemName_长命锁,Longevity lock,,长命锁
ItemName_玉石吊坠,Jade pendant,,玉石吊坠
ItemName_佛手玉坠,Buddha earrings,,佛手玉坠
ItemName_投名状,Nomination Certificate,,投名状
ItemName_工字佩,"""GONG"" inscripted jade ornament",,工字佩
ItemName_三彩乐俑,Three colors statue,,三彩乐俑
ItemName_三足金蟾,Three-legged golden toad,,三足金蟾
ItemName_酒葫芦,Wine gourd,,酒葫芦
ItemName_檀木念珠,Sandalwood prayer beads,,檀木念珠
ItemName_茱萸花,Dogwood flower,,茱萸花
ItemName_牡丹花,Peony,,牡丹花
ItemName_护心镜,Protector glass,,护心镜
ItemName_狗皮膏药,Dog-skin plaster,,狗皮膏药
ItemName_静心玉环,Mind-clearing jade ring,,静心玉环
ItemName_锦帕,Brocade handkerchief,,锦帕
ItemName_碎玉风铃,Broken jade wind chimes,,碎玉风铃
ItemName_板砖,Brick,,板砖
ItemName_官府腰牌,Official token,,官府腰牌
ItemName_黑玉扳指,Obsidian ring,,黑玉扳指
ItemName_青须剑穗,Blue sword string,,青须剑穗
ItemName_双鱼玉佩,Yin Yang jade ornament,,双鱼玉佩
ItemName_玉莲花,Lotus gem,,玉莲花
ItemName_滴水观音,Water Avalokitesvara,,滴水观音
ItemName_玉辟邪,Exorcist gem,,玉辟邪
ItemName_金雕长羽,Golden eagle feather,,金雕长羽
ItemName_兽皮鼓,Beast skin drum,,兽皮鼓
ItemName_云纹琉璃珠,Sculptured jade,,云纹琉璃珠
ItemName_青铜面具,Bronze mask,,青铜面具
ItemName_玉蝉,Cicada gem,,玉蝉
ItemName_青风令牌,Blue Wind token,,青风令牌
ItemName_太极玉佩,Taichi jade ornament,,太极玉佩
ItemName_虎威镖旗,Tiger Escort flag,,虎威镖旗
ItemName_爪甲挟刀,Claw blade,,爪甲挟刀
ItemName_玄衣令,Black Robe token,,玄衣令
ItemName_神捕腰牌,Crime Investigation token,,神捕腰牌
ItemName_将军府腰牌,General Mansion token,,将军府腰牌
ItemName_叶家军腰牌,Ye Family Battalion token,,叶家军腰牌
ItemName_玄色绳结,Black knot,,玄色绳结
ItemName_九江鱼篓,Jiujiang fish pole,,九江鱼篓
ItemName_玄铁令牌,Black iron token,,玄铁令牌
ItemName_百草符,Hundred Plants charm,,百草符
ItemName_君子玉,Gentleman gem,,君子玉
ItemName_菩提佛珠,Buddha prayer beads,,菩提佛珠
ItemName_通犀辟毒牌,Detoxification plate,,通犀辟毒牌
ItemName_游商令牌,Wandering merchant token,,游商令牌
ItemName_火焰令,Flame Token,,火焰令
ItemName_透光镜,Magnifying glass,,透光镜
ItemName_引虫香,Bug-attracting fragrance,,引虫香
ItemName_大黑锅,Black pot,,大黑锅
ItemName_百味调料罐,Spice bottle,,百味调料罐
ItemName_磨刀石,Whetstone,,磨刀石
ItemName_玉如意,Wish gem,,玉如意
ItemName_寒玉玦,Cold gem,,寒玉玦
ItemName_羊脂玉佩,Jade ornament,,羊脂玉佩
ItemName_金蚕蛊,Golden silkworm,,金蚕蛊
ItemName_六寸金针,Six inches gold needle,,六寸金针
