﻿TraitInlo_Kungfu,Initial external power {0},พลังงานภายนอกเริ่มต้น {0}
TraitInlo_Item,Carrying {0},บรรทุก {0}
TraitInlo_Spliter,，,，
TraitInlo_ItemSpliter,、,、
TraitInlo_ItemSpliterLast,And,และ
TraitInlo_End,。,。
TraitDesc_书香门第1,"Born into a scholarly family, you love to compose poetry, and your free and easy style is reflected in the vast landscape.",เจ้าเกิดในครอบครัวนักปราชญ์ เจ้าชอบแต่งบทกวี และสไตล์ที่อิสระและเรียบง่ายของเจ้าสะท้อนให้เห็นในภูมิประเทศอันกว้างใหญ่
TraitDesc_书香门第2,"Born into a scholarly family, you are skilled in calligraphy, and your ambition is evident in every stroke of your brush.",เจ้าเกิดในครอบครัวนักปราชญ์ เจ้ามีทักษะในการประดิษฐ์ตัวอักษร และความทะเยอทะยานของเจ้าจะปรากฏชัดในทุกฝีแปรงของเจ้า
TraitDesc_书香门第3,"Born in a scholarly family, you have a preference for string and wind instruments. Your fingertips dance, captivating the hearts of others.",เจ้าเกิดในครอบครัวนักปราชญ์ เจ้าชอบเครื่องสายและเครื่องเป่ามาก ปลายนิ้วของเจ้าพริ้วไหว ดึงดูดใจผู้คน
TraitDesc_落魄乐师1,"You were once a musician untouched by worldly affairs, but now you have fallen from grace. All that accompanies you is a Parasol Tree and your lofty aspirations.",ครั้งหนึ่งเจ้าเคยเป็นนักดนตรีที่ไม่ถูกยุ่งเกี่ยวเรื่องทางโลก แต่ตอนนี้เจ้าได้หลุดพ้นจากพระเจ้าแล้ว สิ่งที่มาพร้อมกับเจ้าคือพิณไม้ร่มและแรงบันดาลใจอันสูงส่งของเจ้า
TraitDesc_落魄乐师2,"You were once a musician untouched by worldly affairs, but now your family has fallen on hard times. Only the wooden flute still accompanies you as you travel the world.",ครั้งหนึ่งเจ้าเคยเป็นนักดนตรีที่ไม่ถูกยุ่งเกี่ยวเรื่องทางโลก แต่ตอนนี้ครอบครัวของเจ้าตกอยู่ภายใต้ความยากลำบาก มีเพียงขลุ่ยไม้เท่านั้นที่ยังคงอยู่เคียงข้างเจ้าในขณะที่เจ้าเดินทางไปทั่วโลก
TraitDesc_落魄乐师3,"You were once a musician untouched by worldly affairs, but now you have become a lone goose. You hold your Lute tightly, still wanting to spread your music throughout the world.","ครั้งหนึ่งเจ้าเคยเป็นนักดนตรีที่ไม่ถูกยุ่งเกี่ยวเรื่องทางโลก แต่ตอนนี้เจ้ากลายเป็นห่านตัวเดียว เจ้าจับผีผาไว้แน่น, แต่ยังคงต้องการเผยแพร่เพลงของเจ้าออกไปไปทั่วโลก"
TraitDesc_武学世家1,"You come from a Martial Arts family, and your Earth Blade skills are already quite impressive! After a disaster at home, you managed to escape, but had to wander the world.",เจ้ามาจากตระกูลวรยุทธ์ และวิชาดาบพสุธาค่อนข้างน่าประทับใจอยู่แล้ว! หลังจากเกิดภัยพิบัติที่บ้าน เจ้าสามารถหลบหนีออกมาได้ แต่ต้องออกไปท่องโลกกว้าง 
