﻿Talking_Carp,Carp,ปลาคาร์ป
Fame-35_name,Sword Duel Convention,งานชุมนุมวิจารณ์กระบี่
Fame-35_overview,Go to the Wuyue Region's Sword Discussion Platform to participate in the Sword Discussion Conference.,มุ่งสู่ลานวิจารณ์กระบี่ในเขตอู๋เยว่ เพื่อร่วมงานชุมนุมวิจารณ์กระบี่
Fame-35_option1_1,Participate! <color=#c44b0e>(Unable to run away for a while)</color>,เข้าร่วม! <color=#c44b0e>(จะไม่สามารถออกมาได้ระยะหนึ่ง)</color>
Fame-35_option1_2,"Participate! <color=#c44b0e>(Unable to run away for a while, specific partners leave the team)</color>","เข้าร่วม! <color=#c44b0e>(จะไม่สามารถออกมาได้ระยะหนึ่ง, สหายบางคนจะแยกตัวออกจากกลุ่ม)</color>"
Fame-35_option1_3,Not participating for now.,ยังไม่เข้าร่วมในยามนี้
Fame-35_NPCname,Young Man's Voice,เสียงของชายหนุ่ม
M5069-1_option1_1,"Let him go, let him run away.",ปล่อยไป ปล่อยให้มันหนีไป!
M5069-1_option1_2,Let him leave his wealth behind as a lesson.,ปล่อยให้มันไป แต่ต้องทิ้งทรัพย์สมบัติไว้เป็นค่าตักเตือน!
M5069-1_option1_3,"Can't just let him go, need to teach him a lesson! <color=#c44b0e>(Protagonist solo fight)</color>","ปล่อยไปง่าย ๆ ไม่ได้ ต้องสั่งสอนให้รู้สำนึก!"" <color=#c44b0e>(ตัวเอกต่อสู้คนเดียว)</color>"
M5012-1_option1_1,Send <color=#0574a8>{TeamerName:1}</color> to fight.,ส่ง <color=#0574a8>{TeamerName:1}</color> ไปประมือ
M5012-1_option1_2,Send <color=#0574a8>{TeamerName:2}</color> to fight.,ส่ง <color=#0574a8>{TeamerName:2}</color> ไปประมือ
M5012-1_option1_3,Send <color=#0574a8>{TeamerName:3}</color> to fight.,ส่ง <color=#0574a8>{TeamerName:3}</color> ไปประมือ
M5012-1_option1_4,Send <color=#0574a8>{TeamerName:4}</color> to fight.,ส่ง <color=#0574a8>{TeamerName:4}</color> ไปประมือ
M5012-1_option1_5,Send <color=#0574a8>{TeamerName:5}</color> to fight.,ส่ง <color=#0574a8>{TeamerName:5}</color> ไปประมือ
M5012-1_option1_6,Do not fight.,ไม่รับคำท้า
PLD-1_name,Three Sects are under attack,สามสำนักใหญ่ถูกโจมตี
PLD-1_overview1,"Go to Confucius Temple, Shifa Temple and Taoist Sect for information.",เดินทางไปยัง วัดขงจื๊อ อารามซื่อฟา และ สำนักเต๋า เพื่อตรวจสอบสถานการณ์
PLD-1_overview2,"Go to Confucius Temple, Shifa Temple for information.",เดินทางไปยัง วัดขงจื๊อ อารามซื่อฟา เพื่อตรวจสอบสถานการณ์
PLD-1_overview3,"Go to Confucius Temple, Taoist Sect for information.",เดินทางไปยัง วัดขงจื๊อ สำนักเต๋า เพื่อตรวจสอบสถานการณ์
PLD-1_overview4,Go to Confucius Temple for information.,เดินทางไปยัง วัดขงจื๊อ เพื่อตรวจสอบสถานการณ์
PLD-1_overview5,"Go to Taoist Sect, Shifa Temple for information.",เดินทางไปยัง สำนักเต๋า อารามซื่อฟา เพื่อตรวจสอบสถานการณ์
PLD-1_overview6,Go to Taoist Sect for information.,เดินทางไปยัง สำนักเต๋า เพื่อตรวจสอบสถานการณ์
PLD-1_overview7,Go to Shifa Temple for information.,เดินทางไปยัง อารามซื่อฟา เพื่อตรวจสอบสถานการณ์
PLD-1_overview8,"Information on all three sects has been gathered, go to Fu Yaozi's Linlang Temple for information.",หลังจากตรวจสอบสถานการณ์ของทั้งสามสำนักแล้ว มุ่งหน้าไปยังวัดหลินหลางของฝูเหยาจื่อเพื่อดูสถานการณ์
PLD-1-1_name,Shifa Temple is under attack,อารามซื่อฟาถูกโจมตี
PLD-1-1_overview1,"The Shifa Temple Scripture Tower was robbed, and Zhan Xiongfei is investigating inside. Go and meet him.",หอคัมภีร์อารามซื่อฟาถูกปล้น และ จ้านสงเฟยกำลังตรวจสอบอยู่ข้างใน เข้าไปพบเขา
PLD-1-1_overview2,Go to Shifa Temple·Hall of Great Strength to find Hui Yuan for information.,เดินทางไปยัง อารามซื่อฟา·หอแห่งความยิ่งใหญ่ เพื่อพบกับฮุ่ยหยวนและสอบถามสถานการณ์
PLD-1-2_option1_1,Leave now.,ออกจากที่นี่
PLD-1-2_option1_2,"Help the old man clean the statue.<color=#097a76>(1 shichen, Stamina 20)</color>","ช่วยผู้อาวุโสทำความสะอาดรูปปั้น <color=#097a76>ใช้เวลา 1 ชั่วยาม, 20 แรงกาย</color>"
PLD-1-3_name,Taoist Sect is under attack,สำนักเต๋าถูกโจมตี
PLD-1-3_overview1,Visit Zhong Yangzi.,เข้าพบ ฉงหยางสื่อ
PLD-2_NPCname,Fu Yaozi's voice,เสียงของฝูเหยาจื่อ
PLD-3_name,Ask for directions to Penglai,สอบถามเส้นทางไปยังเกาะเผิงไหล
PLD-3_overview1,Go to Langya Sword Pavilion to ask Jian Chi about how to get to Penglai Island.,เดินทางไปยังศาลากระบี่หลางหยา เพื่อสอบถามมารกระบี่เกี่ยวกับวิธีไปยังเกาะเผิงไหล
PLD-3_overview2,Go to Lin'an City Pier to ask about how to get to Penglai.,เดินทางไปยังท่าเรือหลินอัน เพื่อสอบถามวิธีไปยังเกาะเผิงไหล
PLD-3_overview3,Go to Exquisite Pavilion to inquire about Boss Qian's news.,เดินทางไปยังศาลาประณีต เพื่อสอบถามข่าวของเจ้าสัวเฉียน
PLD-3_overview4,Boss Qian might be at Wine God Tower.,เจ้าสัวเฉียนอาจจะอยู่ที่หอคอยเทพสุรา
