key,original,translation,context
FactionType_0,Other,,其他
FactionType_1,Sect,,门派
FactionType_2,Village,,村镇
FactionType_3,Faction,,阵营
FactionElimated,%s%<color=#c44b0e>{0}</color> has been removed from the martial arts world!,,%s%<color=#c44b0e>{0}</color>从此江湖上除名！
FactionFame_仇恨,Hatred,,仇恨
FactionFame_对立,Opposition,,对立
FactionFame_冷淡,Cold,,冷淡
FactionFame_中立,Neutral,,中立
FactionFame_友善,Friendly,,友善
FactionFame_信赖,Trust,,信赖
FactionFame_钦佩,Admire,,钦佩
FactionFame_敬重,Respect,,敬重
FactionFame_敬仰,Honored,,敬仰
FactionFame_崇拜,Worship,,崇拜
FactionFame_武朝,Wu Dynasty,,武朝
FactionFame_大蛮国,Great Barbarian Kingdom,,大蛮国
FactionFame_楼兰,Loulan,,楼兰
FactionFame_南诏,Nanzhao,,南诏
FactionFame_大夏,Great Xia,,大夏
FactionName_半瓶醋工作室,Half Full Studio,,半瓶醋工作室
FactionName_剧情势力,Plot Forces,,剧情势力
FactionName_自由势力,Free Forces,,自由势力
FactionName_剧情势力灭门归属,,,无
FactionName_苗彩蝶个人势力,,,无
FactionName_霖安城虚拟势力,Lin'an City,,霖安城
FactionName_楚襄城虚拟势力,Chuxiang City,,楚襄城
FactionName_大梁城虚拟势力,Daliang City,,大梁城
FactionName_上京城,Shangjing City,,上京城
FactionName_霖安城,Lin'an City,,霖安城
FactionName_霖安驿站,Lin'an Post Station,,霖安驿站
FactionName_霖安客栈,Lin'an Inn,,霖安客栈
FactionName_霖安铁匠铺,Lin'an Blacksmith's forge,,霖安铁匠铺
FactionName_霖安当铺,Lin'an Pawnshop,,霖安当铺
FactionName_霖安珍品阁,Lin'an Exquisite Pavilion,,霖安珍品阁
FactionName_霖安武馆,Lin'an Dojo,,霖安武馆
FactionName_霖安医馆,Lin'an Medical Hall,,霖安医馆
FactionName_霖安杂货铺,Lin'an Grocery store,,霖安杂货铺
FactionName_霖安成衣铺,Lin'an Clothing Shop,,霖安成衣铺
FactionName_霖安饰品店,Lin'an Jewelry Shop,,霖安饰品店
FactionName_霖安太白楼,Lin'an Wine God Tower,,霖安太白楼
FactionName_霖安云林寺,Lin'an Cloud Forest Temple,,霖安云林寺
FactionName_霖安群芳馆,Lin'an Maiden House,,霖安群芳馆
FactionName_楚襄城,Chuxiang City,,楚襄城
FactionName_大梁城,Daliang City,,大梁城
FactionName_芙蓉城,Furong City,,芙蓉城
FactionName_云滇城,Yundian City,,云滇城
FactionName_楼兰城,Loulan City,,楼兰城
FactionName_皇城司,Imperial City Office,,皇城司
FactionName_儒圣馆,Confucius Temple,,儒圣馆
FactionName_道玄宗,Taoist Sect,,道玄宗
FactionName_释法寺,Shifa Temple,,释法寺
FactionName_九流门,Nine Factions Sect,,九流门
FactionName_妙音坊,Melody House,,妙音坊
FactionName_蚍蜉城,Dragonfly City,,蚍蜉城
FactionName_圣火宗,Holy Fire Sect,,圣火宗
FactionName_藏剑山庄,Hidden Sword Manor,,藏剑山庄
FactionName_九黎部落,Jiuli Tribe,,九黎部落
FactionName_九江水寨,Jiujiang Water Camp,,九江水寨
FactionName_琳琅馆,Linlang Temple,,琳琅馆
FactionName_叶家军,Ye Family Battalion,,叶家军
FactionName_柴王阁,Chaiwang Pavilion,,柴王阁
FactionName_本草门,Plant Sect,,本草门
FactionName_望东门,Wangdong Gate,,望东门
FactionName_万兽山庄,Ten Thousand Beast Manor,,万兽山庄
FactionName_万安镖局,Wanan Escort Agency,,万安镖局
FactionName_夜摩坊,Night Demon Square,,夜摩坊
FactionName_大漠鬼门,Desert Ghost Gate,,大漠鬼门
FactionName_刀马堂,Knife Horse Hall,,刀马堂
FactionName_冷皮帮,Cold Skin Gang,,冷皮帮
FactionName_铁浮屠,Levitational Steel,,铁浮屠
FactionName_白云观,White Cloud Temple,,白云观
FactionName_六和塔,Six Harmony Tower,,六和塔
FactionName_流民营,Refugee Camp,,流民营
FactionName_大王寨,Bandit Camp,,大王寨
FactionName_姑苏遗址,Gusu Ruins,,姑苏遗址
FactionName_朔方古迹,Ancient Ruin of Shoufang,,朔方古迹
FactionName_新宋朝廷,New Song Dynasty Court,,新宋朝廷
FactionName_燕子窝,Nest of Swallow,,燕子窝
FactionName_燕云铁军,Yan Yun Iron Army,,燕云铁军
FactionName_风闻台,Wind News Platform,,风闻台
FactionName_将军府,General's mansion,,将军府
FactionName_康王府,Duke Kang's manor,,康王府
FactionName_齐王府,Duke Ji's manor,,齐王府
FactionName_神捕门,Crime Investigation Bureau,,神捕门
FactionName_摸金门,Tomb Raider Sect,,摸金门
FactionName_沙门岛,Shamen Island,,沙门岛
FactionName_天鹫宫,Tianjiu Palace,,天鹫宫
FactionName_飞鹰帮,Flying Eagle Gang,,飞鹰帮
FactionName_海蛟帮,Sea Jiao Gang,,海蛟帮
FactionName_琅琊剑阁,Langya Sword Pavilion,,琅琊剑阁
