key,original,translation,context
GameLog_ApplySetting,Settings updated successfully,,设置更改成功
Hotkey_RoamingMoveLeft,Move to the top left,,向左上移动
Hotkey_RoamingMoveRight,Move to the bottom right,,向右下移动
Hotkey_RoamingMoveUp,Move to the top right,,向右上移动
Hotkey_RoamingMoveDown,Move to the bottom left,,向左下移动
Hotkey_RoamingStealthSwitch,Stealth Switch,,潜行开关
Hotkey_RoamingActiveBattle,Open battle,,开启战斗
Hotkey_RoamingRole,Character,,角色
Hotkey_RoamingInventory,Item,,物品
Hotkey_RoamingKungfu,Martial Arts,,武学
Hotkey_RoamingEnlightenment,Passive,,武道
Hotkey_RoamingAbility,Skill,,能力
Hotkey_RoamingRelation,Relations,,关系
Hotkey_RoamingQuest,Journal,,记事
Hotkey_RoamingNews,Rivers and Lakes News,,江湖小报
Hotkey_RoamingPet,Pets.,,宠物
Hotkey_RoamingEsc,System Menu,,系统菜单
Hotkey_StorySkipStory,Skip the entire plot,,跳过整段剧情
Hotkey_StorySkipDialogue,Skip the current dialogue,,跳过当前对白
Hotkey_StoryOption1,Option 1,,选项1
Hotkey_StoryOption2,Option 2,,选项2
Hotkey_StoryOption3,Option 3,,选项3
Hotkey_StoryOption4,Option 4,,选项4
Hotkey_StoryOption5,Option 5,,选项5
Hotkey_StoryOption6,Option 6,,选项6
Hotkey_StoryOption7,Option 7,,选项7
Hotkey_StoryOption8,Option 8,,选项8
Hotkey_StealthSteal,Choose Steal,,选择暗取
Hotkey_StealthPoison,Choose Poison,,选择下毒
Hotkey_StealthParalyze,Choose Immobilize,,选择点穴
Hotkey_StealthAssassin,Choose Ambush,,选择突袭
Hotkey_StealthConfirm,Confirm Interaction,,确定交互
Hotkey_QuickSave,Quick save,,快速存档
Hotkey_QuickLoad,Quick Load,,快速读档
Hotkey_BattleEsc,Deselect Martial Arts,,取消选中的武功
Hotkey_BattleUniqueSkill,Ultimate Move,,绝招
Hotkey_RoamingMeditation,Meditate (Long Press),,打坐（长按）
Hotkey_RoamingMap,Map,,地图
Hotkey_RoamingLog,Daily Log,,日常记录
Hotkey_BattleKungfu1,Martial Art 1,,武功1
Hotkey_BattleKungfu2,Martial Art 2,,武功2
Hotkey_BattleKungfu3,Martial Art 3,,武功3
Hotkey_BattleKungfu4,Martial Art 4,,武功4
Hotkey_BattleKungfu5,Martial Art 5,,武功5
Hotkey_BattleKungfu6,Martial Art 6,,武功6
Hotkey_BattleKungfu7,Martial Art 7,,武功7
Hotkey_BattleKungfu8,Martial Art 8,,武功8
Hotkey_BattleKungfu9,Martial Art 9,,武功9
Hotkey_BattleInternalKungfu1,Inner Power 1,,内功1
Hotkey_BattleInternalKungfu2,Inner Power 2,,内功2
Hotkey_BattleInternalKungfu3,Inner Power 3,,内功3
Hotkey_BattleInternalKungfu4,Inner Power 4,,内功4
Hotkey_BattleInternalKungfu5,Inner Power 5,,内功5
Hotkey_BattleInternalKungfu6,Inner Power 6,,内功6
Hotkey_BattleInternalKungfu7,Inner Power 7,,内功7
Hotkey_BattleInternalEffect,Power Body,,功体
Hotkey_BattleHidWep,Throwing,,暗器
Hotkey_BattleItem,Item,,物品
Hotkey_BattleRest,Rest,,休息
Hotkey_BattleRetreat,Retreat,,撤退
Hotkey_BattleSwitchAuto,Auto Battle,,自动战斗
Hotkey_BattleShowBattleZone,Info Battle Range,,查看交战范围
Hotkey_BattleSwitchSpeed,Toggle Battle Speed,,战斗速度切换
Hotkey_BattleShortcutItem1,Quick Item 1,,快捷物品1
Hotkey_BattleShortcutItem2,Quick Item 2,,快捷物品2
Hotkey_BattleShortcutItem3,Quick Item 3,,快捷物品3
Hotkey_BattleShortcutItem4,Quick Item 4,,快捷物品4
Hotkey_BattleShortcutItem5,Quick Item 5,,快捷物品5
Hotkey_BattleShortcutItem6,Quick Item 6,,快捷物品6
Hotkey_BattleBondKungfu,Love Martial Art,,情缘武功
Hotkey_BattleSwitchUniqueSkill,Switch Ultimate Move,,切换绝招
HotkeyEnv_Roaming,Free Mode,,自由模式
HotkeyEnv_Story,Story Mode,,剧情模式
HotkeyEnv_Stealth,Stealth Mode,,潜行模式
HotkeyEnv_Battle,Battle Mode,,战斗模式
Setting,Settings,,设置
Setting_Game,Game,,游戏
Setting_Audio,Sound,,声音
Setting_Graphic,Graphics,,图像
Setting_Hotkey,Hotkeys,,快捷键
Tab,Tabulation,,制表
Hotkey_RoamingRun,Run,,奔跑
LeftShift,Shift Up,,上档
