key,original,translation,context
Talking_default,Talk,,交谈
Talking_learn,Request,,请教
M1101-5_talking,Jewelry,,首饰
M1100-1_name,Small Village Bao Dating,,小村包打听
M1100-1_overview,Ask Bao Dating for ways to make money.,,找包打听打听赚钱的办法。
M1100-2_name,Collect Herbs,,采集药材
M1100-2_overview,Help the village doctor collect 5 Wolfberries.,,帮村里的郎中收集5份枸杞。
M1100-2_overview2,Give 5 Wolfberries to the doctor.,,将5份枸杞交给郎中。
M1100-2_overview3,Chat with the medicine-selling doctor.,,与卖药的郎中聊聊。
M1100-2_option1_dialog,"Young man, can you help me collect Wolfberries?",,小子有空帮老夫采集枸杞吗？
M1100-2_option1_1,I'll go collect <color=#c44b0e>Wolfberries</color> right away.,,晚辈这就去采集<color=#c44b0e>枸杞</color>。
M1100-2_option1_2,"I really can't spare the time right now, let's talk about it later.",,晚辈现在实在是腾不出空，之后再说吧。
M1100-3_name,Snake Gall in Wine,,蛇胆入酒
M1100-3_overview,Help the village butcher collect 5 Snake Galls.,,帮村里的屠夫收集5枚蛇胆。
M1100-3_overview2,Give the Snake Galls to the village butcher.,,把蛇胆交给村里的屠夫吧。
M1100-3_option1_dialog,"(The butcher actually uses Snake Gall to make wine, this...)",,（屠夫老哥居然用蛇胆泡酒喝，这……）
M1100-3_option1_1,Snake Gall wine does have some benefits.<color=#097a76>(Medical reaches 30)</color>,,蛇胆酒确实有一些好处。<color=#097a76>（医术达到30）</color>
M1100-3_option1_2,Snake Gall in wine... Can this be drunk?,,蛇胆泡酒……这东西能喝吗？
M1100-3_option2_dialog,(Should I help the butcher collect Snake Galls?),,（要不要帮屠夫大哥去收集蛇胆呢？）
M1100-3_option2_1,"Alright, leave it to me.",,好吧，交给我。
M1100-3_option2_2,I think it's better not to...,,我觉得还是不要比较好……
M1100-5_name,Doctor's Free Clinic,,郎中义诊
M1100-5_overview,"The doctor can heal the team for free once, recovering all HP and MP.",,郎中可以免费为队伍治疗一次，恢复全部生命和内力。
M1100-5_talk,Heal,,治疗
M1100-5_option1,I'll count on you then.<color=#097a76>(1 shichen)</color>,,那就拜托了。<color=#097a76>（1个时辰）</color>
M1100-5_option2,"I feel quite healthy, no need to heal for now.",,我感觉我还很健康，暂时不需要治疗。
M1100-5option1_dialog,Do you need me to help you regulate your Qi and blood?,,是否需要老夫帮你调理气血？
M1100-11_name,Hide and Seek,,捉迷藏
M1100-11_overview,Find 3 children.,,找到3位小朋友。
R20008-2_name,Xiao Bao's Secret,,小宝的秘密
R20008-2_option（1）_dialog,"(He probably won't tell me his secret easily, should I listen to him?)",,（这个秘密想必不会轻易告诉我，我要不要听他说呢？）
R20008-2_option1,"Of course, I want to know.",,当然想知道。
R20008-2_option2,I don't want to know.,,不想知道。
R20008-2_option3,"Alright, here you go.<color=#097a76>(Wooden sword x1)</color>",,好，那就给你。<color=#097a76>（木剑1把）</color>
R20008-2_option4,Let me think about it.,,让我再考虑一下。
R20008-2_overview1,Xiao Bao has something to tell you.,,小宝有事与你说。
R20008-2_overview2,Xiao Bao wants a Wooden sword.,,小宝想要一把木剑。
R20008-2_overview3,Give the Wooden sword to Xiao Bao.,,将木剑送给小宝。
M1100-17_option1_dialog,"Want to learn Medical? Alright, kid, name a few medicinal herbs and their effects first.",,想学习医术？好啊，小子你先说几味药草的名字和功效。
M1100-17_option1_1,"I've loved Medical since I was a child, this won't be a problem for me.<color=#097a76>(Medical reaches 30)</color>",,晚辈从小喜欢医术，这些自然难不倒我。<color=#097a76>（医术达到30）</color>
M1100-17_option1_2,Uh... I'm actually untrained in herbs.,,呃……晚辈其实对药草一窍不通。
M1100-19_option1_dialog,What do you want to know?,,你想要了解些什么？
M1100-19_option1_1,I want to understand the classification of martial arts.,,我想了解武功的分类。
M1100-19_option1_2,I want to know what to pay attention to during a fight.,,我想了解战斗的时候要注意些什么。
M1100-19_option1_3,How do I distinguish different fighting styles?,,我怎么区别各种战斗方式？
M1100-19_option1_4,I have no more questions.,,我没有什么要问的了。
M1100-24_option1_dialog,How much strength do you want me to use?,,你想要我使出几成功力？
M1100-24_option1_1,I want to challenge you at three-tenths of your strength!<color=#097a76>(Solo challenge)</color>,,晚辈要挑战前辈三成功力！<color=#097a76>（主角单挑）</color>
M1100-24_option1_2,I want to challenge you at half of your strength!<color=#097a76>(Solo challenge)</color>,,晚辈要挑战前辈五成功力！<color=#097a76>（主角单挑）</color>
M1100-24_option1_3,I want to challenge you at seven-tenths of your strength!<color=#097a76>(Solo challenge)</color>,,晚辈要挑战前辈七成功力！<color=#097a76>（主角单挑）</color>
M1100-24_option1_4,I want to challenge you at full strength!<color=#097a76>(Solo challenge)</color>,,晚辈要挑战前辈十成功力！<color=#097a76>（主角单挑）</color>
M1100-24_option1_5,I'll prepare and come back to request.,,晚辈准备一下再来请教。
M1104-1_name,Village Head's Gift,,村长的馈赠
M1104-1_overview1,Go talk to the Nameless village Village Head.,,去找无名小村村长谈谈。
M1104-1_overview2,Search for the Secret chamber in the Village head's house.,,在村长家找寻密室。
M1104-1_overview3,Open the Panlong Chest in the Secret chamber.,,开启密室中的蟠龙宝箱。
M1105-2_name,Forge Weapon,,打造兵器
M1105-2_talking,Craft,,打造
M1105-2_overview1,"After learning the recipe in your bag, use 2 Iron mines to forge a Cast iron sword.",,在背包学习配方后，使用2块铁矿打造生铁剑。
M1105-2_overview2,Talk to the blacksmith with the <color=#c44b0e>Cast iron sword</color> in hand.,,拿着<color=#c44b0e>生铁剑</color>与铁匠交谈。
M1400-1_name,Lingzhi under the Tree,,树下灵芝
M1400-1_overview,A Lingzhi is hidden under a pink-leafed tree in the Lost Forest.,,迷踪林里一颗粉叶大树下隐藏一株灵芝。
M1700-1_name,Ferry across the River,,渡口过河
M1700-1_options1,[Pay] Pay 50 Wen to cross the river.,,[付钱]交出50文过河。
M1700-1_options2,[Pay] Pay 400 Wen to cross the river. (2 people in your party),,[付钱]交出400文过河。（己方有2人）
M1700-1_options3,[Pay] Pay 600 Wen to cross the river. (3 people in your party),,[付钱]交出600文过河。（己方有3人）
M1700-1_options4,[Pay] Pay 800 Wen to cross the river. (4 people in your party),,[付钱]交出800文过河。（己方有4人）
M1700-1_options5,[Pay] Pay 1 Guan to cross the river. (5 people in your party),,[付钱]交出1贯过河。（己方有5人）
M1700-1_options6,[Pay] Pay 1 Guan and 200 Wen to cross the river. (6 people in your party),,[付钱]交出1贯200文过河。（己方有6人）
