﻿EJ-001-overview1,"A case occurred in the room next to the Chuxiang CityGrocery store. If you want to know the case, you need to raise your Fame to level 5 Famous, or win the championship of Chuxiang Hero Conference.",มีคดีปริศนาเกิดขึ้นที่ ห้องข้างร้านขายของชำในเมืองฉู่เซียง หากท่านต้องการทราบ รายละเอียดของคดีนี้ ต้องมีชื่อเสียงระดับ 5 หรือ ชนะการประลอง งานชุมนุมยอดยุทธเมืองฉู่เซียง
EJ-001-overview2,"A case occurred in the room next to the Chuxiang CityGrocery store. If you want to know the case, you need to raise your Fame to level 5 Famous, or win the championship of Chuxiang Hero Conference.",มีคดีปริศนาเกิดขึ้นที่ ห้องข้างร้านขายของชำในเมืองฉู่เซียง หากท่านต้องการทราบ รายละเอียดของคดีนี้ ต้องมีชื่อเสียงระดับ 5 หรือ ชนะการประลอง งานชุมนุมยอดยุทธเมืองฉู่เซียง
DLC5Search1-1-Talking,Merchant,พ่อค้า
DLC5Search1-1-option1_1,Take it!,รับไว้!
DLC5Search1-1-option1_2,Don't take it!,อย่าเอาไป!
DLC5Search1-6-Talking,Token,ตรา
EJ-002-option1_1,"Let's go! <color=#c44b0e>(Specific battle, recommended Level 45)</color>","""ไปกันเถอะ!""<color=#c44b0e>(เข้าสู่การต่อสู้, ความแข็งแกร่งระดับ 45)</color> "
EJ-002-option1_2,Prepare a bit,เตรียมตัวอีกเล็กน้อย
EJ-002-overview1,"The Imperial Ombudsman from Daliang City has a plan to arrest the murderer, who is now waiting in an empty house next to the Chuxiang City Government Office.",ท่านผู้ตรวจการจากเมืองต้าเหลียง เตรียมแผนจับตัวฆาตกร... ขณะนี้พักอยู่ในบ้านร้าง ข้างศาลากลางเมืองฉู่เซียง
EJ-002-overview2,Prepare and come back to the house next to the Government Office to challenge the Constable again.,จงเตรียมพร้อมให้ดี ฝึกปรือวิชาจนแกร่งกล้าเสียก่อน แล้วค่อยกลับมาท้าทายมือปราบ ณ บ้านข้างศาลากลางอีกครั้ง!
EJ-002-overview3,Prepare and come back to the house next to the Government Office to set off with the Imperial Ombudsman.,จงเตรียมพร้อมให้ดี แล้วค่อยมา ที่บ้านข้างศาลากลาง เพื่อออกเดินทางพร้อมกับท่านผู้ตรวจการ
DLC5Search1-2-Talking,Murder Case,คดีฆาตกรรม
DLC5Search1-2-overview1,Buy a pot of Bamboo green wine and a portion of Steamed meat with mushroom for Jiang Nanguai. Both of these items can be purchased at the Sorrowless Tavern in Chuxiang City.,ไปซื้อ สุราไผ่เขียว และเนื้อตุ๋นเห็ดหอม ให้แก่ เจียงหนานไกว่! ของทั้งสองนี้ ล้วนหาซื้อได้ที่หอสุราลืมทุกข์เมืองฉู่เซียง.
DLC5Search1-2-overview2,Bring the Bamboo green wine and Steamed meat with mushroom to Jiang Nanguai.,นำ สุราไผ่เขียว และเนื้อตุ๋นเห็ดหอม ให้แก่ เจียงหนานไกว่!
EJ-001-name,Sealed Civilian House,บ้านร้างต้องห้าม
DLC5Search1-2-name,Price of Information,ราคาของข้อมูล
DLC5Search1-3-name,Inquire at Sorrowless Tavern,สอบถามข้อมูลที่ หอสุราลืมทุกข์
DLC5Search1-4-name,Inquire at Market,สอบถามข้อมูลที่ ตลาด
M20100-22-name,Crisis in Forest of Broken Souls,วิกฤตในป่าวิญญาณสลาย
DLC5Search1-5-name,Inquire at Refugee Camp,สอบถามข้อมูลที่ ค่ายผู้ลี้ภัย
DLC5Search1-6-name,Inquire at Blue Wind Camp,สอบถามข้อมูลที่ ค่ายวายุคราม
EJ-002-name,Clever Plan to Catch the Murderer,แผนการอันแยบยลเพื่อจับกุมตัวฆาตกร
EJ-003-name,Daliang's Zhu Catching,ภารกิจจับกุม คนแซ่จูแห่งต้าเหลียง
EJ-003-overview1,Go to Daliang City and find Imperial Ombudsman Zhu Wen.,ไปที่เมืองต้าเหลียง เพื่อตามหาท่านผู้ตรวจการ จูเหวิน
EJ-003-overview2,"Inquire about Zhu Wen's residence.
Duke Qi, Government Office and Inn Waiter may have information about Zhu Wen, or you can go door to door...","สอบถาม ที่พักของ จูเหวิน\nอ๋องฉี, เจ้าหน้าที่ ที่ศาลาว่าการ, เสี่ยวเอ้อ ที่โรงเตี้ยม อาจมีข่าวคราวบ้าง หรือไม่ก็เคาะประตูตามหา เดินถามไปทุกบ้านเอาเอง!"
EJ-003-overview3,"Inquire about Zhu Wen's residence.
Duke Qi, Inn Waiter may have information about Zhu Wen, or you can go door to door...","สอบถาม ที่พักของ จูเหวิน\nอ๋องฉี, เสี่ยวเอ้อ ที่โรงเตี้ยม อาจมีข่าวคราวบ้าง หรือไม่ก็เคาะประตูตามหา เดินถามไปทุกบ้านเอาเอง!"
EJ-003-overview4,"Inquire about Zhu Wen's residence.
Government Office and Inn Waiter may have information about Zhu Wen, or you can go door to door...","สอบถาม ที่พักของ จูเหวิน\nเจ้าหน้าที่ ที่ศาลาว่าการ, เสี่ยวเอ้อ ที่โรงเตี้ยม อาจมีข่าวคราวบ้าง หรือไม่ก็เคาะประตูตามหา เดินถามไปทุกบ้านเอาเอง!"
