key,original,translation,context
MapName_1000,Nameless area,,无名地区
MapName_1001,Xiangfan,,襄樊地区
MapName_1002,Zhongzhou,,中州地区
MapName_1003,Wuyue,,吴越地区
MapName_1004,Southwest region,,西南地区
MapName_1100_0,Vegetable field,,菜地
MapName_1100,Nameless village,,无名小村
MapName_1101,Nameless hotel,,无名客栈
MapName_1104_0,Village leader's house,,村长家
MapName_1102,Village leader's house - Secret chamber,,村长家·密室
MapName_1103,Village leader's house - Bedroom,,村长家·卧房
MapName_1104,Village leader's house - Main hall,,村长家·正堂
MapName_1105,Blacksmith's forge,,铁匠铺
MapName_1106,Hunter's house,,猎户家
MapName_1107,Woodcutter's house,,樵夫家
MapName_1108,Shabby house,,破败民居
MapName_1109,Hotel - Guest room,,客栈·客房
MapName_1200_0,Prison,,牢笼
MapName_1200_1,Training field,,练武场
MapName_1200,Blue Wind Camp,,青风寨
MapName_1201,Main chamber,,议事厅
MapName_1202,Treasure room,,藏宝室
MapName_1203,Bedroom,,寨众房间
MapName_1204,Storehouse,,仓库
MapName_1300,Wasteland,,荒地
MapName_1301,Ruined shrine,,破庙
MapName_1302,Ruined shrine - Secret chamber,,破庙·密室
MapName_1400,Lost Forest,,迷踪林
MapName_1401,Hanging bridge,,吊桥
MapName_1402,Enlightenment zone,,悟道之地
MapName_1500,Wild Wolf Valley,,野狼谷
MapName_1501,Wolf King Cave,,狼王洞
MapName_1600,Cross Hill,,十字坡
MapName_1700,Ferry,,渡口
MapName_2000,Half Full Studio,,半瓶醋工作室
MapName_5001,Graveyard,,乱葬岗
MapName_5002,,,
MapName_5003,Tea shop,,茶摊
MapName_5004,Faraway village,,偏远的村庄
MapName_5005,Refugee Camp,,流民营
MapName_5006,,,
MapName_5007,Nameless ferry,,无名渡口
MapName_5008,Xiangfan ferry,,襄樊渡口
MapName_5009,Wuyue ferry,,吴越渡口
MapName_5011,Nameless cave,,无名山洞
MapName_5012,Sword Test Platform,,试剑台
MapName_5013,Merchant ship,,商船
MapName_5014,West Pass,,镇西关
MapName_5015,Ritual Platform,,封禅台
MapName_5016,God of Marriage's Shrine,,月老祠
MapName_5018,,,
MapName_5019,,,
MapName_5020,Above river,,江上
MapName_5022,Above river,,江上
MapName_5025,Zhongzhou ferry,,中州渡口
MapName_5026,,,
MapName_5029,Mountain cave,,山洞
MapName_5030,Sea Serpent Gang,,海蛟帮
MapName_5033,Deserted Courtyard,,荒废庭院
MapName_5034,,,
MapName_5035,,,
MapName_5036,,,
MapName_5037,Palace hall,,行宫大殿
MapName_5038,Cooking Contest,,论粽大赛
MapName_5039,Supreme Court,,大理寺
MapName_5040,Supreme Court - Court,,大理寺·公堂
MapName_5041,Supreme Court - Prison,,大理寺·牢房
MapName_5050,Waterfall Pond,,飞瀑潭
MapName_5051,Cloud Sea Cliff,,云海崖
MapName_5052,Peak of Challenge,,论道峰
,,,
MapName_6000,"Wuxian Mountain, Southwest foothills",,巫咸山·西南山麓
MapName_6001,"Wuxian Mountain, Northeast foothills",,巫咸山·东北山麓
MapName_6002,Wuxian Mountain·Mountain Peak,,巫咸山·山巅
,,,
MapName_20100_0,Market,,市集
MapName_20100_1,Dirty Street,,脏街
MapName_20100_2,Mind Pond,,心湖
MapName_20100,Chuxiang City,,楚襄城
MapName_20101,Hotel Prosperous,,福临客栈
MapName_20102,Hotel Prosperous - Guest room,,福临客栈·客房
MapName_20103_0,Government Office,,衙门
MapName_20103,Government Office - Main hall,,衙门·正堂
MapName_20104,Government Office - Prison,,衙门·牢房
MapName_20105,Chuxiang Dojo,,楚襄武馆
MapName_20106,Charity House,,安济堂
MapName_20107,Rare Artifact Shop,,奇珍坊
MapName_20108,Grocery store,,杂货铺
MapName_20109,White Cloud Temple,,白云观
MapName_20110,Blacksmith's forge,,铁匠铺
MapName_20111,Pink Attire Pavilion,,红袖阁
MapName_20112,Pawn shop,,聚宝当铺
MapName_20113,Tea shop,,品茗轩
MapName_20114,Forgotten House,,忘忧楼
MapName_20115,Forgotten House - 2nd Floor,,忘忧楼·二层
MapName_20116_0,General's mansion,,将军府
MapName_20116,General's mansion - Main hall,,将军府·正堂
