key,original,translation,context
ControlTip_Or,Or,,或
ControlTip_Setup,Settings,,设置
ControlTip_Back,Return,,返回
ControlTip_Next,Next Step,,下一步
ControlTip_Close,Close,,关闭
ControlTip_Confirm,Confirm,,确定
ControlTip_Confirm1,Confirm,,确认
ControlTip_EnableOrDisable,Enable/Disable,,启用/禁用
ControlTip_Stop,Stop,,停止
ControlTip_Cancel,Cancel,,取消
ControlTip_ModSubDel,Subscribe/Unsubscribe,,订阅/取消
ControlTip_ModDel,Unsubscribe,,取消订阅
ControlTip_Refresh,Refresh,,刷新
ControlTip_LongDesc,Info Details,,查看详情
ControlTip_PageUp,Previous Page,,上一页
ControlTip_PageDown,Next Page,,下一页
ControlTip_MoveVertical,Move Up/Down,,上移/下移
ControlTip_ModGood,Like,,赞
ControlTip_ModBad,Dislike,,踩
ControlTip_RestoreDefault,Default Recovery,,恢复默认
ControlTip_Select,Select,,选择
ControlTip_Apply,Save,,保存
ControlTip_ConfirmOrCancel,Confirm/Cancel,,确认/取消
ControlTip_SwitchGroup,Switch Category,,切换类目
ControlTip_BondsPlace,Place Wedding Stone,,放置三生石
ControlTip_ViewHelp,Info Help,,查看帮助
ControlTip_Done,Hand in,,交付
ControlTip_ReceiveTask,Accept,,接取
ControlTip_ForgoTask,Abandon,,放弃
ControlTip_BountySwitch,Switch Area,,切换区域
ControlTip_BountyMoveItem,Move Item,,移动物品
ControlTip_ToolSwitch,Select Tool,,选择工具
ControlTip_StartOrPause,Start/Pause,,开始/暂停
ControlTip_Auto,Auto,,自动
ControlTip_NeverAsk,Don't Show Again,,不再提示
ControlTip_MainSubPageSwitch,Expand/Collapse,,展开/收起
ControlTip_Scroll,Scroll Display,,滚动显示
ControlTip_StoryCheck,Track,,追踪
ControlTip_ApplyTrade,Deal,,成交
ControlTip_ZoneSwitch,Switch Area,,切换区域
ControlTip_MoveItem,Move Item,,移动物品
ControlTip_FastMoveItem,Quick Move Item,,快速移动物品
ControlTip_SwitchRole,Switch Character,,切换角色
ControlTip_ResetPoint,Reset Potential,,重置资质
ControlTip_EditPoint,Allocate Potential,,分配资质
ControlTip_ChangeView,Switch Display,,切换显示
ControlTip_Filter,Filter,,过滤
