﻿Consumeable_SlgPersonal,Consumables,ของใช้
Consumeable_SlgFaction,Sect resources,สมบัติของสำนัก
CharPropName_SLG_R_SLGCoin,"After use, <color=#F7A337>coin</color>","หลังจากใช้, <color=#F7A337>อีแปะ</color>"
CharPropName_SLG_R_SLGTribute,"After use, <color=#F7A338>meditation points</color>","หลังจากใช้, <color=#F7A338>ค่าสมาธิ</color>"
CharPropName_SLG_R_SLGFood,"After use, <color=#F7A339>food</color>","หลังจากใช้, <color=#F7A339>อาหาร</color>"
CharPropName_SLG_R_SLGMine,"After use, <color=#F7A340>minerals</color>","หลังจากใช้, <color=#F7A340>แร่</color>"
CharPropName_SLG_R_SLGDrug,"After use, <color=#F7A341>herbs</color>","หลังจากใช้, <color=#F7A341>สมุนไพร</color>"
CharPropName_SLG_R_SLGWood,"After use, <color=#F7A342>wood</color>","หลังจากใช้, <color=#F7A342>ไม้</color>"
ItemName_dlc粗布裹手,Simple cloth gloves,ผ้าพันมือธรรมดา
ItemName_dlc木剑,Wooden sword,ดาบไม้
ItemName_dlc大砍刀,Big blade,มีดพร้า
ItemName_dlc震山拳套,Mountain Basher glove,ถุงมือทลายภูผา
ItemName_dlc铁虎爪,Iron tiger claw,กรงเล็บเสือเหล็ก
ItemName_dlc奔雷铁手,Quick gauntlet,ถุงมือเหล็กอัสนีบาต
ItemName_dlc昆仑,Kunlun,ถุงมือคุนหลุน
ItemName_dlc降龙,Dragon Slayer,ถุงมือพิฆาตมังกร
ItemName_dlc乾坤,Heaven and Earth,ถุงมือสวรรค์ปฐพี
ItemName_dlc红缨枪,Red spear,หอกพู่แดง
ItemName_dlc竹竿,Bamboo stick,ท่อนไม้ไผ่
ItemName_dlc折扇,Folding fan,พัดด้ามจิ้ว
ItemName_dlc青罡剑,Blue Steel sword,กระบี่ชิงกัง
ItemName_dlc倚天剑,Heaven sword,เพลงกระบี่ฟ้ากว้าง
ItemName_dlc青冥剑,Dawn sword,กระบี่ฟ้าบันดาล
ItemName_dlc干将,Ganjiang,กระบี่ก้านเจี้ยง
ItemName_dlc含光,Hidden Light,กระบี่แห่งแสง
ItemName_dlc鱼肠,Fish Stomach,กระบี่มัจฉา
ItemName_dlc匕首,Dagger,มีดสั้น
ItemName_dlc狼毫笔,Wolf hair pen,พู่กันขนหมาป่า
ItemName_dlc梧桐琴,Parasol Tree,กู่ฉินไม้อู๋ถง
ItemName_dlc碎宇刀,Rain Breaker,ดาบผ่าจักรวาล
ItemName_dlc绣春刀,Officer blade,ดาบเจ้าหน้าที่
ItemName_dlc修罗刀,Shura blade,ดาบอสุรา
ItemName_dlc大夏龙雀,Summer Sparrow,ดาบมังกรวิหคชาด
ItemName_dlc犬神刀,Canine God,ดาบเขี้ยวเทพสุนัข
ItemName_dlc龙牙刀,Dragon Tooth,ดาบเขี้ยวมังกร
ItemName_dlc木箫,Wooden flute,ขลุ่ยไม้
ItemName_dlc花梨琵琶,Pear lute,ผีผาไม้ชิงชัน
ItemName_dlc窄袖衣,Female clothes,เสื้อสตรี
ItemName_dlc梨花枪,Pear Blossom,หอกหลีฮวา
ItemName_dlc霸王枪,Emperor Spear,หอกจักรพรรดิ
ItemName_dlc亮银枪,Luminous Spear,หอกจรัสแสง
ItemName_dlc句芒,Jumang,หอกเทพเจ้าจูมัง
ItemName_dlc方天画戟,Heaven Halberd,ง้าวกรีดนภา
ItemName_dlc龙胆,Dragon Courage,หอกมังกรหาญ
ItemName_dlc绢麻衣,Linen clothes,เสื้อผ้าลินิน
ItemName_dlc护心铠,Protection armor,เกราะป้องกัน
ItemName_dlc彩绣香囊,Embroidered sachet,ซองปักปราณีต
ItemName_dlc盘龙棍,Dragon staff,พลองมังกร
ItemName_dlc齐天棍,Heaven staff,พลองสวรรค์
ItemName_dlc金箍铁棒,Gold-Banded Iron Staff,ไม้เท้าเหล็กห่วงทองคำ
ItemName_dlc烛阴,Zhuyin,คบเพลิงมังกรจูหลง
ItemName_dlc定海神针,Dinghai Shenzhen,เสาค้ำทะเลตงไห่
ItemName_dlc镇岳,Mountain Suppressor,กระบองสยบภูผา
ItemName_dlc粗糙的护身符,Simple Safe-keeping Charm,เครื่องรางเรียบง่าย
