key,original,translation,context
TraitInlo_Kungfu,Initial external power {0},,初始外功{0}
TraitInlo_Item,Carrying {0},,携带{0}
TraitInlo_Spliter,，,,，
TraitInlo_ItemSpliter,、,,、
TraitInlo_ItemSpliterLast,And,,和
TraitInlo_End,。,,。
,,,
TraitDesc_书香门第1,"Born into a scholarly family, you love to compose poetry, and your free and easy style is reflected in the vast landscape.",,出身于书香门第的你，独爱吟诗作赋，千里江山映尽了你的潇洒飘逸。
TraitDesc_书香门第2,"Born into a scholarly family, you are skilled in calligraphy, and your ambition is evident in every stroke of your brush.",,出身于书香门第的你，使得一手好笔墨，挥毫泼墨之间，尽是气贯苍穹之志。
TraitDesc_书香门第3,"Born in a scholarly family, you have a preference for string and wind instruments. Your fingertips dance, captivating the hearts of others.",,出身于书香门第的你，偏爱丝竹之器，指尖飞舞，让人心驰神往。
TraitDesc_落魄乐师1,"You were once a musician untouched by worldly affairs, but now you have fallen from grace. All that accompanies you is a Parasol Tree and your lofty aspirations.",,你曾经是个不沾俗事的乐师，如今却已虎落平阳，陪伴你的除了一腔清志，唯有一把梧桐琴。
TraitDesc_落魄乐师2,"You were once a musician untouched by worldly affairs, but now your family has fallen on hard times. Only the wooden flute still accompanies you as you travel the world.",,你曾经是个不沾俗事的乐师，如今却已家道中落，唯有木萧仍陪伴你踏足天下河山。
TraitDesc_落魄乐师3,"You were once a musician untouched by worldly affairs, but now you have become a lone goose. You hold your Lute tightly, still wanting to spread your music throughout the world.",,你曾经是个不沾俗事的乐师，如今却已成离群孤雁，你抱紧怀里的琵琶，仍旧想把乐章传遍天下。
TraitDesc_武学世家1,"You come from a Martial Arts family, and your Earth Blade skills are already quite impressive! After a disaster at home, you managed to escape, but had to wander the world.",,你出自武学世家，所学地趟刀法已颇具火候！家中遭遇变故，你虽逃出生天，却不得不流落江湖。
TraitDesc_武学世家2,"You come from a Martial Arts family, and the family's Dragon Roaming Sword is unpredictable! After a disaster at home, you managed to escape, but had to wander the world.",,你出自武学世家，家传游龙剑法夭娆多变！家中遭遇变故，你虽逃出生天，却不得不流落江湖。
TraitDesc_武学世家3,"You come from a Martial Arts family, and your Carefree Fist is elegant and transcendent! After a disaster at home, you managed to escape, but had to wander the world.",,你出自武学世家，一手逍遥拳法飘逸出尘！家中遭遇变故，你虽逃出生天，却不得不流落江湖。
TraitDesc_武学世家4,"You come from a Martial Arts family, and the family's Dragon Staff is powerful! After a disaster at home, you managed to escape, but had to wander the world.",,你出自武学世家，家传蟠龙棍法虎虎生风！家中遭遇变故，你虽逃出生天，却不得不流落江湖。
TraitDesc_武学世家5,"You come from a Martial Arts family, and your Wind Stab is chilling! After a disaster at home, you managed to escape, but had to wander the world.",,你出自武学世家，一招疾风刺令人胆寒！家中遭遇变故，你虽逃出生天，却不得不流落江湖。
TraitDesc_武学世家6,"You come from a Martial Arts family, and you are skilled in the Six Forms Spear! After a disaster at home, you managed to escape, but had to wander the world.",,你出自武学世家，耍得一手六合枪法！家中遭遇变故，你虽逃出生天，却不得不流落江湖。
TraitDesc_拳法宗师,"You have mastered the art of boxing, and can be called a grandmaster. Your Mountain Clear Palm has the power of ten thousand pounds, capable of breaking mountains and rocks, and is invincible.",,你拳法大成，堪称宗师，一式开山掌有万钧之力，开山破石，无往不利。
TraitDesc_剑法宗师,"You have mastered the art of swordsmanship, and can be called a grandmaster. Your Flirting Star Sword is undefeated, and there are few opponents where your Dawn sword goes.",,你剑法大成，堪称宗师，一式贪狼剑法所向披靡，青冥剑所到之处，鲜有敌手。
TraitDesc_刀法宗师,"You have mastered the art of knife, and can be called a grandmaster. Your Thunder Blade is like a thunderbolt, shaking the earth and sky, and is extremely domineering.",,你刀法大成，堪称宗师，一式霹雳刀法宛如炸雷，惊天动地，霸气异常。
TraitDesc_棍法宗师,"You have mastered the art of stick, and can be called a grandmaster. Your Origin Staff is like the Great Sage reborn, stirring up the world and alarming the four seas.",,你棍法大成，堪称宗师，一式混元棍法如大圣再世，搅得天地震颤，四海惊动。
TraitDesc_枪法宗师,"You have mastered the art of spear, and can be called a grandmaster. Your Power Star Spear has repelled countless masters. With the Emperor Spear in hand, one man can hold the pass against ten thousand.",,你枪法大成，堪称宗师，一式七杀枪法击退无数高手，霸王枪在手，一夫当关，万夫莫开。
TraitDesc_音律宗师,"You are a world-renowned master of performance, and your Mountain and River tune is popular all over the world. But in the end, the song is too high for the masses, and it is hard to find a confidant.",,你已是名扬天下的演奏大师，一曲高山流水风靡天下但终究曲高和寡，难觅知音。
TraitDesc_短兵宗师,"You are a legend in the world of assassins. Your Silver Snake Mirage is as fast as lightning, unpredictable, and no one can stop you within five steps.",,你是杀手界的传奇，一招银蛇流光势出如电，诡异莫测，五步之内无人能挡。
,,,
TraitName_书香门第1,※Scholarly Family※,,※书香门第※
TraitName_书香门第2,※Scholarly Family※,,※书香门第※
TraitName_书香门第3,※Scholarly Family※,,※书香门第※
TraitName_落魄乐师1,※Down-and-out Musician※,,※落魄乐师※
TraitName_落魄乐师2,※Down-and-out Musician※,,※落魄乐师※
TraitName_落魄乐师3,※Down-and-out Musician※,,※落魄乐师※
TraitName_武学世家1,※Martial Arts Family※,,※武学世家※
TraitName_武学世家2,※Martial Arts Family※,,※武学世家※
TraitName_武学世家3,※Martial Arts Family※,,※武学世家※
TraitName_武学世家4,※Martial Arts Family※,,※武学世家※
TraitName_武学世家5,※Martial Arts Family※,,※武学世家※
TraitName_武学世家6,※Martial Arts Family※,,※武学世家※
TraitName_拳法宗师,※Boxing Grandmaster※,,※拳法宗师※
TraitName_剑法宗师,※Swordsmanship Grandmaster※,,※剑法宗师※
TraitName_刀法宗师,※Knife Grandmaster※,,※刀法宗师※
TraitName_棍法宗师,※Stick Grandmaster※,,※棍法宗师※
TraitName_枪法宗师,※Spear Grandmaster※,,※枪法宗师※
TraitName_音律宗师,※Musical Grandmaster※,,※音律宗师※
TraitName_短兵宗师,※Short Grandmaster※,,※短兵宗师※
,,,
TraitName_暗器入门,,,暗器入门
TraitName_毒术入门,,,毒术入门
TraitName_短兵入门,,,短兵入门
TraitName_拳掌入门,,,拳掌入门
TraitName_耍刀入门,,,耍刀入门
TraitName_医术入门,,,医术入门
TraitName_音律入门,,,音律入门
TraitName_御剑入门,,,御剑入门
TraitName_长兵入门,,,长兵入门
TraitName_福泽深厚,,,福泽深厚
TraitName_身强体健,,,身强体健
TraitName_龙精虎猛,,,龙精虎猛
TraitName_聪颖灵巧,,,聪颖灵巧
TraitName_深仁厚泽,,,深仁厚泽
TraitName_慷慨仗义,,,慷慨仗义
TraitName_文质彬彬,,,文质彬彬
TraitName_才智过人,,,才智过人
TraitName_一诺千金,,,一诺千金
TraitName_力拔山河,,,力拔山河
TraitName_先天邪气,,,先天邪气
TraitName_手脚灵活,Quick reflex,,手脚灵活
TraitName_身材矮小,Short stature,,身材矮小
,,,
TraitName_暗器精通,Throwing Mastery,,暗器精通
TraitName_毒术精通,Toxicology Mastery,,毒术精通
TraitName_短兵精通,Short Mastery,,短兵精通
TraitName_拳掌精通,Fist Mastery,,拳掌精通
TraitName_耍刀精通,Blade master,,耍刀精通
TraitName_医术精通,Medical Mastery,,医术精通
TraitName_音律精通,Musical Mastery,,音律精通
TraitName_御剑精通,Sword master,,御剑精通
TraitName_长兵精通,Long Mastery,,长兵精通
TraitName_骨骼清奇,Unique Skeleton,,骨骼清奇
TraitName_良才美玉,Talented Beauty,,良才美玉
TraitName_越战越勇,Battle maniac,,越战越勇
TraitName_速战速决,,,速战速决
TraitName_得心应手,Upwind,,得心应手
TraitName_熟能生巧,Practice makes perfect,,熟能生巧
TraitName_山林猎手,Wild hunter,,山林猎手
TraitName_福泽深厚,Good fortune,,福泽深厚
TraitName_身强体健,Hardened,,身强体健
TraitName_龙精虎猛,Stalwart,,龙精虎猛
TraitName_聪颖灵巧,Smart,,聪颖灵巧
TraitName_误打误撞,Random attack,,误打误撞
TraitName_见招拆招,Good blocker,,见招拆招
,,,
TraitName_暗器奇才,Throwing talent,,暗器奇才
TraitName_毒术奇才,Toxicology talent,,毒术奇才
TraitName_短兵奇才,Short weapon talent,,短兵奇才
TraitName_拳掌奇才,Fist talent,,拳掌奇才
TraitName_耍刀奇才,Blade talent,,耍刀奇才
TraitName_医术奇才,Medical talent,,医术奇才
TraitName_音律奇才,Musical talent,,音律奇才
TraitName_御剑奇才,Sword talent,,御剑奇才
TraitName_长兵奇才,Long weapon talent,,长兵奇才
TraitName_特异毒体,Poisonous body,,特异毒体
TraitName_暗器精研,Throwing master,,暗器精研
TraitName_动如雷霆,Mighty as the Thunder,,动如雷霆
TraitName_雪上加霜,Poison expert,,雪上加霜
TraitName_妙手仁心,Medical expert,,妙手仁心
TraitName_身先士卒,Front guard,,身先士卒
