key,original,translation,context
building_木制箱子,Wooden Box,,木制箱子
building_劈柴堆,Chop firewood pile,,劈柴堆
building_藤筐,Rattan basket,,藤筐
building_水盆,Water basin,,水盆
building_陶土盆,Earthenware basin,,陶土盆
building_水桶,Bucket,,水桶
building_木柴堆,Firewood pile,,木柴堆
building_竹筐,Bamboo basket,,竹筐
building_木盒,Wooden box,,木盒
building_板车,Pallet truck,,板车
building_百年老枯树,A century old withered tree,,百年老枯树
building_简陋的木桌,A rudimentary wooden table,,简陋的木桌
building_坛子,Jar,,坛子
building_晾晒架子,Air drying rack,,晾晒架子
building_装稻草的布袋,A cloth bag containing straw,,装稻草的布袋
building_兽皮架,Animal skin rack,,兽皮架
building_树桩,Stump,,树桩
building_简陋的木凳,A rudimentary wooden stool,,简陋的木凳
building_晾衣架,Clothes hanger,,晾衣架
building_陶土罐,Clay jar,,陶土罐
building_鸡窝,Chicken coop,,鸡窝
building_石磨,Stone mill,,石磨
building_箭垛,Arrow crib,,箭垛
building_鱼篓,Fish basket,,鱼篓
building_土地庙,Tudi Temple,,土地庙
building_面袋,Noodle bag,,面袋
building_柜台,Counter,,柜台
building_货架,Shelves,,货架
building_矮木桌,Low wooden table,,矮木桌
building_古董架,Antique shelf,,古董架
building_石雕盆景,Stone carving bonsai,,石雕盆景
building_画缸,Painting cylinder,,画缸
building_杂书堆,Miscellaneous book pile,,杂书堆
building_精致的书柜,Exquisite Bookcase,,精致的书柜
building_精致的古董柜,Exquisite Antique Cabinet,,精致的古董柜
building_唐三彩,Trio-colored glazed pottery of the Tang Dynasty,,唐三彩
building_冰鉴,Ice Mirror,,冰鉴
building_书案,Book case,,书案
building_木椅,Wooden chair,,木椅
building_橱柜,Cabinet,,橱柜
building_杂物袋,Debris bag,,杂物袋
building_洗漱架,Washstand,,洗漱架
building_不知名的青铜器,Unknown Bronze Ware,,不知名的青铜器
building_杂物架,Oddments rack,,杂物架
building_储物架,Storage rack,,储物架
building_储物柜,Lockers,,储物柜
building_木桌,Wooden table,,木桌
building_木桶,Wooden barrel,,木桶
building_木雕,woodcarving,,木雕
building_破损的竹椅,Damaged Bamboo Chair,,破损的竹椅
building_杂物堆,Debris pile,,杂物堆
building_破损的木板床,Damaged wooden bed,,破损的木板床
building_破损的储物架,Damaged storage rack,,破损的储物架
building_破损的坛子,Broken Jar,,破损的坛子
building_破损的长桌,Damaged Long Table,,破损的长桌
building_兵器架,Weapon rack,,兵器架
building_残破的桌子,Broken Table,,残破的桌子
building_残破的窗棱,Broken Window Ledge,,残破的窗棱
building_小坛子,Small Jar,,小坛子
building_旗帜,Flag,,旗帜
building_虎皮座椅,Tiger leather seat,,虎皮座椅
building_长桌,Long table,,长桌
building_倒下的枯树干,Fallen dead tree trunks,,倒下的枯树干
building_破损的木桶,Damaged wooden bucket,,破损的木桶
building_破损的灶台,Broken Stove,,破损的灶台
building_破损的小坛子,Broken Small Jar,,破损的小坛子
building_长木凳,Long wooden bench,,长木凳
building_杂物包裹,Sundry packages,,杂物包裹
building_供台,Altar,,供台
building_巨石,Megalith,,巨石
building_草垛,Haystack,,草垛
building_栅栏,Fence,,栅栏
building_木制长箱,Wooden Long Box,,木制长箱
building_桃树,Peach,,桃树
building_石床,Stone bed,,石床
building_屏风,Screen,,屏风
building_花盆,Flower pot,,花盆
building_落地宫灯,Floor mounted palace lamp,,落地宫灯
building_圆桌,Round table,,圆桌
building_圆凳,Circular stool,,圆凳
building_青花瓷花瓶,Blue and white porcelain vase,,青花瓷花瓶
building_架格,Frame grid,,架格
building_花架,Flower rack,,花架
building_红珊瑚,Red coral,,红珊瑚
building_冰块,Ice cubes,,冰块
building_铁门,Iron Door,,铁门
,,,
