key,original,translation,context
Talking_dating,Inquire,,打听
Talking_cup,Wine glass,,酒杯
Talking_trouble,Tricky,,棘手
Talking_ambition,Ambition,,志向
Talking_freesleep,Free,,免费
Talking_qiecuo,Spar,,切磋
Talking_treasure,Present treasure,,献宝
Talking_fan,Cattail fan,,蒲扇
Talking_leavecity,Leave the city,,出城
Talking_serve,Serve,,效力
Talking_map,Map,,地图
M1101-2-1_talk,Jade pendant,,玉佩
R10003-2_talk,Delicacy,,美食
Talking_20004-4,Wish,,心愿
Talking_20006-3,Worry,,烦恼
Talking_auction,Auction,,拍卖
Talking_hero,Sign up,,报名
Talking_train,Training,,训练
Talking_trainee,Apprentice,,学徒
Talking_coach,Horse carriage,,马车
Talking_Yang,Remnant,,余孽
Talking_Talk,Chat,,闲聊
Talking_Makemoney,Make money,,赚钱
Talking_Marry,Propose,,提亲
Talking_Salary,Salary,,俸禄
Talking_Promotion,Promotion,,升职
Talking_work,Task,,差事
Talking_kitchenknife,Kitchen knife,,菜刀
Talking_Breakarray,Break through the formation,,闯阵
Talking_recommend,Recommendation,,引荐
Talking_ring,Arena,,擂台
Talking_zhaoqin,Propose marriage,,招亲
Talking_Destory,Siege,,攻城
Talking_Needhelp,Ask for help,,求援
Talking_Marryinto,Marry into,,入赘
Talking_Letters,Letter,,书简
Talking_Ask,Inquire,,询问
Talking_Dowry,Dowry,,嫁妆
Talking_Crucible,Practice,,磨练
Talking_Answer,Answer questions,,答题
Talking_Test1,provincial exam,,院试
Talking_Test2,Local examination,,乡试
Talking_Test3,Metropolitan examination,,会试
Talking_Assost,Flirt,,搭讪
Talking_Negotiate,Negotiate,,交涉
Talking_Contribution,Donate,,捐款
Talking_Test,Test,,考验
Talking_Fojing,Buddhist scripture,,佛经
Talking_Mail,Deliver letter,,送信
Talking_Pry,Spy,,刺探
Talking_Minor,Small competition,,小较
Talking_Across,Pass,,通行
Talking_Beads,Prayer beads,,念珠
Talking_Eliminate,Clear out,,清剿
Talking_Assassinate,Assassinate,,刺杀
Talking_Opponent,Nemesis,,死敌
Talking_Chuzheng,Expedition,,出征
Talking_Duanwu,Dragon Boat Festival,,端午
Talking_Exam,Compare,,考较
Talking_Army,Join the army,,参军
Talking_Book,Receive book,,领书
Talking_EliminateBandits,Pacify rebels,,平寇
Talking_Convert,Accept surrender,,招安
Talking_WolfSkin,Wolf skin,,狼皮
Talking_SoldierPay,Military pay,,兵饷
Talking_ChickenPlay,Cockfight,,斗鸡
Talking_Disabuse,Solve doubts,,解惑
Talking_Poem,Match poems,,对诗
Talking_Mission,Mission,,任务
Talking_Rich,Get rich,,发财
Talking_Meet,Pay a visit,,拜见
Talking_Livinglong,Longevity,,长生
Talking_Heal,Heal,,治疗
Talking_SecretScript,Manual,,秘籍
Talking_Boat,Take a boat,,乘船
Talking_Surrender,Surrender,,降伏
Talking_Edict,Handwritten order,,手谕
Talking_Qin,Play the zither,,奏琴
Talking_Sacrifice,Sacrifice,,献祭
Talking_Testgu,Test the poison,,试蛊
Talking_Flute,Play the flute,,吹笛
Talking_Securegu,Cure the poison,,解蛊
Talking_Disease,Hidden disease,,隐疾
Talking_SpringWater,Spring water,,泉水
Talking_Solve,Crack,,破解
Talking_Agate,Agate,,玛瑙
Talking_Jewelry,Jewelry,,珠宝
Talking_Seize,Arrest,,缉拿
Talking_Help,Help,,帮忙
Talking_YiTian,Heaven Reliant,,倚天
Talking_Blackmonkey,Hei Yuan,,黑猿
Talking_BlackShadow,Shadow,,黑影
Talking_RefiningMedicine,Alchemy,,炼药
Talking_Patrol,Patrol,,巡逻
Talking_Scripture,Beg for scriptures,,讨经
Talking_Clean,Clean up,,清理
Talking_Application,Enlist,,应征
Talking_Escort,Escort,,押镖
Talking_Tuoji,Defect,,脱籍
Talking_Exchange,Exchange,,兑换
Talking_Apprentice,Recruit disciples,,收徒
Talking_Etiology,Cause of illness,,病因
Talking_Entrust,Commission,,委托
Talking_Challenge,Challenge,,挑战
Talking_Buy,Buy,,购买
Talking_Getaway,Set Off,,启程
Talking_Withdraw,Leave the door,,退门
Talking_Pretend,Catch the Fake,,捉伪
Talking_Style,Orthodox Style,,正风
Talking_Redcloth,Red Clothes,,红衣
Talking_Ingredients,Ingredient,,食材
Talking_Waterroad,Water Route,,水路
Talking_Pifu,Dragonfly,,蚍蜉
Talking_Convoy,Escort,,护送
Role1-1_npcname1,Man in black,,黑衣人
Role1-1_npcname2,Handsome constable,,长相清秀的差人
Role1-1_npcname3,Handsome Crime Investigation Bureau disciple,,清秀的神捕门弟子
Role1-1_npcname4,Nest of Swallow disciple,,燕子窝弟子
Role3-7_npcname1,Chuxiang City soldier,,楚襄城士兵
Role1-1option1_dialog,(How should I treat this constable?),,（我该怎么对待这位捕头呢？）
Role1-1option2_dialog,(How should I treat this masked woman?),,（我该怎么对待这名蒙面女子呢？）
Role1-1option1_1,Tie him up first!,,先把他捆起来！
Role1-1option1_2,"To be safe, cut the grass and remove the roots.",,为求稳妥，斩草除根吧。
Role1-1option1_3,<color=#0574a8>Help him stand up</color>.,,<color=#0574a8>扶他站起来</color>。
Role1-1option1_4,<color=#0574a8>Untie him and help him stand up</color>.,,<color=#0574a8>给他解绑，扶他站起来</color>。
Role1-1option1_5,Let's wait and see.,,等等再说吧。
Role1-1option1_6,<color=#0574a8>Untie her and help her stand up</color>.,,<color=#0574a8>给她解绑，扶她站起来</color>。
Role1-1option1_7,Tie her up first!,,先把她捆起来！
Role1-1option1_8,<color=#0574a8>Help her stand up</color>.,,<color=#0574a8>扶她站起来</color>。
Role1-1option1_9,<color=#0574a8>Untie her and help her stand up</color>.,,<color=#0574a8>给她解绑，扶她站起来</color>。
Role1-1option2_1,"Alright, let's do as you say.",,好吧，就按你说的做。
Role1-1option2_2,Reject this suggestion.,,拒绝此建议。
Role1-1option2_3,I'll help you run away from here.,,我扶你离开这里吧。
Role1-1option2_4,"Excuse me, I'll be on my way.",,告辞离开。
Role1-1option2_5,"Alright, let's take her away.",,好吧，那我们就把她带走。
Role1-1option3_1,Just pay a visit.<color=#097a76>(1 quarter)</color>,,拜一拜好了。<color=#097a76>（1刻）</color>
Role1-1option3_2,Forget it.,,还是算了吧。
