﻿UIPropPoints,Initial available aptitude: <color=#ffffff>{0}</color>,ความถนัดที่มีอยู่เริ่มต้น: <color=#ffffff>{0}</color>
UITraitPoints,Initial achievement points: <color=#ffffff>{0}</color>,แต้มความสำเร็จเริ่มต้น: <color=#ffffff>{0}</color>
UIPropPointsTip,"Every time you Unlock<#00ff00>{0}</color> achievements, you can allocate an additional attribute point when creating a character. The maximum additional attribute points are <#00ff00>{1}</color>, and the current additional attribute points are <#00ff00>{2}</color>",ทุกครั้งที่คุณปลดล็อคความสำเร็จ<#00ff00>{0}</color> คุณสามารถจัดสรรค่าคุณลักษณะเพิ่มเติมได้เมื่อสร้างตัวละคร คุณลักษณะเพิ่มเติมสูงสุดคือ <#00ff00>{1}</color> และคุณลักษณะเพิ่มเติมในปัจจุบันคือ <#00ff00>{2}</color>
UITraitPointsTip,"Start with <#00ff00>{0}</color> achievement points. Each time you Unlock an achievement, you can get additional achievement points. You can use these points to choose suitable traits when starting the game.",เริ่มต้นด้วยคะแนนความสำเร็จ <#00ff00>{0}</color> แต่ละครั้งที่คุณปลดล็อคความสำเร็จ คุณจะได้รับคะแนนความสำเร็จเพิ่มเติม คุณสามารถใช้คะแนนเหล่านี้เพื่อเลือกลักษณะที่เหมาะสมเมื่อเริ่มเกม
AchievementComplated,Unlock achievement <#ffff00>{0}</color>,ปลดล็อคความสำเร็จ <#ffff00>{0}</color>
AchievementTraitPoints,You can get <#236c0f>{0}</color> achievement points,ได้รับแต้มความสำเร็จ <#236c0f>{0}</color> แต้ม
AchievementPrizeTitle0,Initial items:,สิ่งของเริ่มต้น:
AchievementPrizeTitle1,Initial traits:,คุณสมบัติเริ่มต้น:
AchievementBottom,"Tip 1: Achievement points from Unlock achievements can be used to choose suitable traits at the start of the game\nTip 2: Initial items from Unlock achievements can be chosen as starting items at the start of the game","เคล็ดลับที่ 1: คะแนนความสำเร็จจากการปลดล็อคความสำเร็จสามารถใช้เพื่อเลือกคุณสมบัติที่เหมาะสมเมื่อเริ่มเกม\nเคล็ดลับที่ 2: สามารถเลือกไอเท็มเริ่มต้นจากการปลดล็อคความสำเร็จเป็นไอเท็มเริ่มต้นเมื่อเริ่มเกม"
AchievementLockSecretName,？？？？？？,？？？？？？
AchievementLockSecretTip,？？？？？？？？？？？,？？？？？？？？？？？
AchievementName_1,Undefeated,ไร้พ่าย
AchievementName_2,Replenishing qi and blood,ฟื้นปราณและเลือด
AchievementName_3,Ultra Speed,ความเร็วสูงสุด
AchievementName_4,Effective Learner,เรียนรู้อย่างมุ่งมั่น
AchievementName_5,Survival instinct,สัญชาตญาณการอยู่รอด
AchievementName_6,Throwing Master,ปรมาจารย์อาวุธลับ
AchievementName_7,Poisonous Body,กายพิษ
AchievementName_8,Fast Runner,นักวิ่งลมกรด
AchievementName_9,Poison Expert,ผู้เชี่ยวชาญพิษ
AchievementName_10,Medical Expert,เชี่ยวชาญการแพทย์
AchievementName_11,Medical Master,ปรมาจารย์แพทย์
AchievementName_12,Pretentious,อวดรู้
AchievementName_13,Power of Money,พลังเงินตรา
AchievementName_14,Weapon Expert,เชี่ยวชาญอาวุธ
AchievementName_15,Burning Spirit,จิตวิญญาณลุกโชน
AchievementName_16,Sleight of Hand,มืออันว่องไว
